#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091136.1-p1      -           1362 2713at5820           -            991         0 1286.1   0.0   1   1         0         0 1284.2   0.0     1   991     1  1357     1  1357 0.85 | transcript=PVX_091136.1 | gene=PVX_091136 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:279221-283497(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 2713at5820           -            991       3.6    3.6  30.9   2   2    0.0089       3.3    3.7  16.4   559   638   238   312   212   360 0.35 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 2713at5820           -            991       6.1    2.8  74.7   1   3      0.63   2.3e+02   -2.4  11.5   533   631    52   169    12   197 0.39 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 2713at5820           -            991       6.1    2.8  74.7   2   3    0.0024       0.9    5.6  20.5   481   639   341   535   320   556 0.51 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 2713at5820           -            991       6.1    2.8  74.7   3   3   3.1e-05     0.011   11.8  26.6   488   668   637   822   574   825 0.63 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 2713at5820           -            991       6.4    2.7  17.3   1   2     0.098        36    0.3   3.2   530   618   183   322   161   393 0.37 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093545.1-p1      -            680 2713at5820           -            991       6.4    2.7  17.3   2   2   0.00038      0.14    8.2   6.3   553   651   563   663   447   679 0.48 | transcript=PVX_093545.1 | gene=PVX_093545 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:624735-626777(-) | protein_length=680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 2713at5820           -            991       7.6    2.5  51.3   1   1     0.031        12    1.9  51.3   533   656   168   285    96   290 0.31 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2713at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:31 2026
# [ok]
