#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115230.1-p1      -            534 5839at5820           -            397  1.1e-204  678.0  30.4   1   4      0.22     2e+02   -1.2   0.0     1    13    14    26    14    30 0.89 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 5839at5820           -            397   3.9e-11   40.7  18.1   4   4       1.4   1.3e+03   -3.8   0.0   296   344  1011  1064  1002  1074 0.74 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 5839at5820           -            397   1.8e-08   32.0   0.2   1   2      0.41   3.8e+02   -2.1   2.9    45   148    57   160    38   198 0.79 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 5839at5820           -            397   1.8e-08   32.0   0.2   2   2   1.9e-11   1.8e-08   32.0   0.2    32   181   503   666   492   679 0.73 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 5839at5820           -            397   4.2e-07   27.5   0.1   1   1   1.1e-09     1e-06   26.2   0.1    28   102   740   814   724   838 0.80 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5839at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5839at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5839at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:39 2026
# [ok]
