#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   1   6   2.1e-47   1.3e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 1444at5820           -           1093   4.7e-09   33.0   2.0   1   2   1.1e-07   6.6e-05   19.3   0.1   852   908  1038  1094  1019  1106 0.90 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 1444at5820           -           1093   4.7e-09   33.0   2.0   2   2     1e-05    0.0063   12.8   0.2   884   942  1113  1174  1098  1202 0.70 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091585.1-p1      -            366 1444at5820           -           1093   5.5e-09   32.8   0.1   1   1   1.2e-11   7.7e-09   32.4   0.1   853   914   289   352   252   360 0.88 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 1444at5820           -           1093   3.3e-08   30.3   0.0   1   2     1e-08   6.3e-06   22.7   0.0   848   943    91   188    69   191 0.89 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 1444at5820           -           1093   3.3e-08   30.3   0.0   2   2   5.8e-06    0.0036   13.6   0.0   848   902   155   211   148   216 0.88 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 1444at5820           -           1093   1.5e-06   24.7   0.5   1   1   3.3e-09     2e-06   24.3   0.5   835   966    30   167     6   180 0.81 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 1444at5820           -           1093   9.4e-06   22.1   3.8   1   1     3e-08   1.8e-05   21.2   3.8   312   412   562   659   540   662 0.85 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:29 2026
# [ok]
