#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   1   6   5.2e-09   1.3e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 7466at5820           -            378   4.4e-13   47.4   9.6   3   3   6.8e-13   1.7e-10   38.9   2.3   302   359   602   658   594   670 0.85 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 7466at5820           -            378   1.6e-12   45.6  13.2   1   3     4e-10     1e-07   29.8   0.7   169   243   367   450   340   464 0.74 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 7466at5820           -            378   1.6e-12   45.6  13.2   2   3    0.0041         1    6.7   0.1   262   326   601   682   587   699 0.68 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 7466at5820           -            378   1.6e-12   45.6  13.2   3   3   1.8e-05    0.0044   14.5   2.4   330   361   713   744   702   748 0.86 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 7466at5820           -            378   1.3e-11   42.6  11.1   1   3     0.077        19    2.5   1.1    11    72   119   183   108   197 0.64 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 7466at5820           -            378   1.3e-11   42.6  11.1   2   3   0.00028      0.07   10.6   0.2   183   202   263   282   232   303 0.80 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 7466at5820           -            378   1.3e-11   42.6  11.1   3   3   1.2e-11   3.1e-09   34.8   0.3   276   356   401   489   380   503 0.74 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003825.1-p1      -           1007 7466at5820           -            378   1.6e-10   39.0   7.6   1   2   0.00055      0.14    9.6   0.7   180   252   444   526   430   532 0.72 | transcript=PVX_003825.1 | gene=PVX_003825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:578341-582085(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003825.1-p1      -           1007 7466at5820           -            378   1.6e-10   39.0   7.6   2   2   5.5e-11   1.4e-08   32.7   1.1   309   357   612   661   580   674 0.83 | transcript=PVX_003825.1 | gene=PVX_003825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:578341-582085(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003845.1-p1      -           1203 7466at5820           -            378   1.2e-09   36.1   5.0   1   2    0.0022      0.56    7.6   0.7   180   255   655   740   641   747 0.73 | transcript=PVX_003845.1 | gene=PVX_003845 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:556300-560502(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003845.1-p1      -           1203 7466at5820           -            378   1.2e-09   36.1   5.0   2   2   3.4e-10   8.5e-08   30.1   0.3   288   356   800   871   786   876 0.83 | transcript=PVX_003845.1 | gene=PVX_003845 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:556300-560502(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 7466at5820           -            378   4.8e-09   34.2   6.3   1   2    0.0023      0.58    7.6   0.8   178   256   494   582   472   598 0.74 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 7466at5820           -            378   4.8e-09   34.2   6.3   2   2     1e-09   2.5e-07   28.5   0.5   288   357   641   713   628   732 0.77 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 7466at5820           -            378     5e-09   34.1   2.9   1   2     0.002       0.5    7.8   0.3   179   256   569   656   557   682 0.75 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 7466at5820           -            378     5e-09   34.1   2.9   2   2   4.7e-09   1.2e-06   26.3   0.1   315   356   745   786   691   792 0.88 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 7466at5820           -            378   7.1e-08   30.3   4.6   1   2    0.0023      0.58    7.6   0.8   179   255   526   612   510   623 0.77 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 7466at5820           -            378   7.1e-08   30.3   4.6   2   2   5.1e-08   1.3e-05   22.9   0.2   317   356   704   743   688   748 0.89 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 7466at5820           -            378   8.2e-08   30.1   4.0   1   3       1.3   3.3e+02   -1.5   1.7    45   103   333   390   330   428 0.59 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 7466at5820           -            378   8.2e-08   30.1   4.0   2   3    0.0014      0.35    8.3   0.6   179   222   530   577   505   627 0.67 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 7466at5820           -            378   8.2e-08   30.1   4.0   3   3   3.2e-10   8.2e-08   30.1   4.0   284   356   672   747   633   756 0.84 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 7466at5820           -            378   8.6e-08   30.0   3.3   1   2     0.014       3.6    5.0   0.3   180   239   580   645   565   666 0.68 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 7466at5820           -            378   8.6e-08   30.0   3.3   2   2   8.6e-09   2.2e-06   25.4   0.2   312   359   752   799   707   806 0.79 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 7466at5820           -            378   2.7e-07   28.4  16.3   1   3       3.3   8.2e+02   -2.8   0.8   115   154   386   424   350   431 0.66 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 7466at5820           -            378   2.7e-07   28.4  16.3   2   3   0.00022     0.055   10.9   0.5   180   239   572   637   548   655 0.68 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 7466at5820           -            378   2.7e-07   28.4  16.3   3   3   2.2e-09   5.5e-07   27.4   2.3   286   356   715   788   703   800 0.82 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 7466at5820           -            378   5.7e-07   27.4   0.6   1   3     0.043        11    3.4   0.4   179   240   525   592   511   596 0.76 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 7466at5820           -            378   5.7e-07   27.4   0.6   2   3   2.2e-09   5.7e-07   27.4   0.6   310   356   695   742   661   747 0.80 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 7466at5820           -            378   5.7e-07   27.4   0.6   3   3       4.3   1.1e+03   -3.2   0.1   343   368   986  1013   982  1014 0.80 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 7466at5820           -            378     1e-06   26.5   0.3   1   3       7.7   1.9e+03   -4.0   1.0    22    65   220   264   176   307 0.57 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 7466at5820           -            378     1e-06   26.5   0.3   2   3    0.0017      0.42    8.0   0.7   180   255   535   620   521   631 0.76 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 7466at5820           -            378     1e-06   26.5   0.3   3   3   4.1e-09     1e-06   26.5   0.3   316   357   711   752   686   767 0.87 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 7466at5820           -            378   3.8e-06   24.6  10.1   1   3       1.1   2.8e+02   -1.3   0.2    52    91   368   408   358   454 0.74 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 7466at5820           -            378   3.8e-06   24.6  10.1   2   3    0.0056       1.4    6.3   0.7   179   245   549   621   534   638 0.70 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
