#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086130.1-p1      -            119 14381at5820          -             87   3.8e-56  186.0   1.0   1   1   3.2e-58   4.6e-56  185.7   1.0     1    87    25   114    25   114 0.98 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14381at5820          -             87   4.5e-16   57.6   2.0   4   4   1.1e-06   0.00015   20.7   0.0    13    76   400   463   393   470 0.87 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 14381at5820          -             87   4.4e-13   48.0   3.5   1   2   2.2e-08   3.1e-06   26.0   0.1    13    63    22    72    16    88 0.88 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 14381at5820          -             87   4.4e-13   48.0   3.5   2   2   3.1e-07   4.4e-05   22.4   0.5    13    80   109   175   101   184 0.87 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 14381at5820          -             87   2.2e-08   32.9   0.0   1   1   4.5e-10   6.4e-08   31.5   0.0    13    84   190   264   185   265 0.88 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 14381at5820          -             87   2.6e-08   32.7   0.5   1   1   4.2e-10   5.9e-08   31.6   0.2    10    77     7    73     3    84 0.90 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 14381at5820          -             87   3.5e-08   32.3   0.3   1   2   2.8e-09     4e-07   28.9   0.1    14    74   680   740   673   752 0.88 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 14381at5820          -             87   3.5e-08   32.3   0.3   2   2       1.8   2.6e+02    0.7   0.0    27    78   838   892   825   900 0.70 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111600.1-p1      -            544 14381at5820          -             87   6.5e-08   31.4   0.3   1   3   4.2e-08   5.9e-06   25.2   0.0    13    75    15    77    10    83 0.95 | transcript=PVX_111600.1 | gene=PVX_111600 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=Pv_Sal1_chr06:335309-338077(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111600.1-p1      -            544 14381at5820          -             87   6.5e-08   31.4   0.3   2   3      0.67        95    2.1   0.0    13    50   115   150   109   171 0.77 | transcript=PVX_111600.1 | gene=PVX_111600 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=Pv_Sal1_chr06:335309-338077(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111600.1-p1      -            544 14381at5820          -             87   6.5e-08   31.4   0.3   3   3         3   4.2e+02   -0.0   0.0    30    53   170   194   156   221 0.76 | transcript=PVX_111600.1 | gene=PVX_111600 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=Pv_Sal1_chr06:335309-338077(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 14381at5820          -             87   7.8e-08   31.2   0.0   1   1   9.8e-10   1.4e-07   30.4   0.0    17    77    18    78    11    88 0.87 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14381at5820          -             87   3.6e-07   29.1   4.7   1   3    0.0032      0.45    9.5   0.6    11    77    18    79    11    86 0.86 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14381at5820          -             87   3.6e-07   29.1   4.7   2   3     0.064       9.1    5.3   0.0    29    74   133   180   129   187 0.74 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 14381at5820          -             87   3.6e-07   29.1   4.7   3   3   0.00012     0.017   14.0   0.0    18    75   216   272   200   281 0.79 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 14381at5820          -             87   6.5e-07   28.2   0.0   1   1   9.2e-09   1.3e-06   27.3   0.0    13    80    38   105    33   111 0.93 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 14381at5820          -             87   1.5e-06   27.1   0.5   1   1   1.4e-08     2e-06   26.7   0.5    20    75    17    72     7    83 0.87 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14381at5820          -             87   1.6e-06   26.9   0.2   1   2    0.0012      0.18   10.8   0.0    13    68   627   683   620   695 0.78 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14381at5820          -             87   1.6e-06   26.9   0.2   2   2    0.0002     0.029   13.3   0.0    21    75   737   791   724   804 0.85 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14381at5820          -             87   2.2e-06   26.6   1.6   1   1   3.1e-08   4.3e-06   25.6   0.4    11    69   303   364   294   379 0.83 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 14381at5820          -             87   5.7e-06   25.2   0.3   1   1     4e-08   5.7e-06   25.2   0.3    15    76     8    75     3    85 0.79 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 14381at5820          -             87   8.6e-06   24.6   0.0   1   1   1.3e-07   1.8e-05   23.6   0.0    12    77    30    95    26   104 0.95 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 14381at5820          -             87   8.7e-06   24.6   0.2   1   2   0.00073       0.1   11.6   0.0    13    64    89   138    77   153 0.83 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 14381at5820          -             87   8.7e-06   24.6   0.2   2   2    0.0018      0.25   10.3   0.1    21    60   180   218   171   239 0.78 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 14381at5820          -             87   3.1e-05   22.9   1.9   1   2   0.00033     0.046   12.7   0.1    13    75    49   104    36   113 0.81 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 14381at5820          -             87   3.1e-05   22.9   1.9   2   2    0.0034      0.48    9.4   0.2    12    78   211   276   205   284 0.87 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 14381at5820          -             87   8.1e-05   21.5   0.0   1   1   9.8e-07   0.00014   20.8   0.0    10    73     5    68     2    77 0.89 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 14381at5820          -             87   0.00011   21.1   0.0   1   1   1.2e-06   0.00018   20.4   0.0     7    68    67   128    61   143 0.86 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 14381at5820          -             87   0.00021   20.2   0.0   1   1   2.1e-06    0.0003   19.7   0.0    12    75    15    75     8    83 0.85 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 14381at5820          -             87   0.00021   20.2   0.6   1   2    0.0014       0.2   10.6   0.1    50    76    67    93    24   103 0.71 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 14381at5820          -             87   0.00021   20.2   0.6   2   2     0.016       2.2    7.3   0.0    27    75   147   196   132   201 0.77 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 14381at5820          -             87   0.00032   19.6   0.2   1   1   3.5e-06   0.00049   19.0   0.2    15    77    65   126    48   133 0.88 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 14381at5820          -             87   0.00036   19.4   0.3   1   2   2.6e-05    0.0037   16.2   0.1    14    66   121   173   110   187 0.82 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 14381at5820          -             87   0.00036   19.4   0.3   2   2       1.5   2.1e+02    0.9   0.0    24    61   215   251   204   265 0.81 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123145.1-p1      -           1075 14381at5820          -             87   0.00044   19.2   0.1   1   1   7.9e-06    0.0011   17.9   0.1    21    79   231   289   220   298 0.85 | transcript=PVX_123145.1 | gene=PVX_123145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1168029-1171256(+) | protein_length=1075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14381at5820          -             87   0.00045   19.1   0.0   1   2     0.018       2.6    7.1   0.0    13    76     9    71     3    78 0.80 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14381at5820          -             87   0.00045   19.1   0.0   2   2    0.0028      0.39    9.7   0.0    29    75   173   218   161   225 0.85 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 14381at5820          -             87   0.00053   18.9   1.9   1   2   7.7e-06    0.0011   17.9   0.1    12    77   309   366   302   371 0.87 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094415.1-p1      -            861 14381at5820          -             87   0.00053   18.9   1.9   2   2       5.7   8.2e+02   -0.9   0.2    13    75   415   474   410   481 0.69 | transcript=PVX_094415.1 | gene=PVX_094415 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:235963-238548(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 14381at5820          -             87    0.0014   17.6   0.1   1   1   4.8e-05    0.0069   15.3   0.1    15    78   170   236   165   246 0.76 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 14381at5820          -             87    0.0016   17.4   0.6   1   1   2.5e-05    0.0036   16.3   0.6    13    76   100   162    93   173 0.79 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 14381at5820          -             87    0.0037   16.2   3.4   1   2    0.0097       1.4    8.0   0.1    13    63   365   415   355   427 0.86 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 14381at5820          -             87    0.0037   16.2   3.4   2   2      0.01       1.4    7.9   0.1    10    69   662   721   659   736 0.82 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 14381at5820          -             87    0.0063   15.5   0.0   1   1    0.0001     0.014   14.3   0.0    13    74     9    70     2    78 0.87 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14381at5820          -             87    0.0075   15.2   0.1   1   1   0.00013     0.018   14.0   0.1    27    79   438   489   420   495 0.78 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 14381at5820          -             87      0.02   13.9   0.0   1   1   0.00028     0.039   12.9   0.0    27    75    24    69     8    76 0.77 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 14381at5820          -             87     0.038   13.0   0.1   1   2       2.9   4.1e+02    0.0   0.0    12    39    10    37     6    77 0.67 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
