#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000850.1-p1      -            700 4671at5820           -            475  6.4e-271  897.1  39.2   1   4   3.1e-29   8.4e-27   92.1   0.1     1    90    11   130    11   153 0.86 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4671at5820           -            475     6e-49  165.2  22.3   2   4   1.7e-05    0.0047   13.8   0.0   210   274   356   428   333   434 0.67 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4671at5820           -            475     6e-49  165.2  22.3   3   4   3.5e-09   9.7e-07   26.0   3.0   282   422   491   626   479   635 0.74 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4671at5820           -            475     6e-49  165.2  22.3   4   4   2.6e-43   7.3e-41  138.5   1.3   199   377   779   958   768   967 0.93 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 4671at5820           -            475   1.7e-42  143.9  14.0   1   2   4.4e-08   1.2e-05   22.4   3.6   150   377   167   379   131   387 0.66 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 4671at5820           -            475   1.7e-42  143.9  14.0   2   2   9.8e-40   2.7e-37  126.7   2.8   158   410   536   782   500   790 0.78 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 4671at5820           -            475     5e-38  129.2   0.1   1   2       2.3   6.4e+02   -3.1   1.1    24    54    20    47     2    64 0.44 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 4671at5820           -            475     5e-38  129.2   0.1   2   2   1.8e-40     5e-38  129.2   0.1   191   416   129   354   114   384 0.87 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 4671at5820           -            475   3.3e-36  123.2   1.7   1   2      0.38   1.1e+02   -0.5   1.3   129   170    44    83    15    97 0.62 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 4671at5820           -            475   3.3e-36  123.2   1.7   2   2   3.1e-38   8.6e-36  121.8   0.0   201   416   170   384   153   392 0.87 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094615.1-p1      -            447 4671at5820           -            475   1.1e-31  108.2   0.0   1   1   6.6e-34   1.8e-31  107.5   0.0   188   415   181   408   173   412 0.84 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4671at5820           -            475   9.4e-31  105.2   5.2   1   2   8.2e-29   2.3e-26   90.7   0.5   230   455   287   522   238   533 0.81 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4671at5820           -            475   9.4e-31  105.2   5.2   2   2   2.6e-06   0.00071   16.5   0.5   230   397   568   733   552   741 0.77 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 4671at5820           -            475   3.2e-30  103.4   0.0   1   1   1.9e-32   5.2e-30  102.7   0.0   190   385   129   328   120   353 0.86 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 4671at5820           -            475   5.6e-30  102.6   0.0   1   1     2e-32   5.6e-30  102.6   0.0   229   410   191   374   157   381 0.82 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 4671at5820           -            475   7.9e-30  102.1   0.0   1   1   4.6e-32   1.3e-29  101.4   0.0   188   415   151   378   137   385 0.83 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 4671at5820           -            475   2.2e-28   97.4   0.3   1   2       3.6     1e+03   -3.7   0.4   424   441    76    93    46   120 0.60 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 4671at5820           -            475   2.2e-28   97.4   0.3   2   2     8e-31   2.2e-28   97.4   0.3   193   382   244   433   219   469 0.87 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 4671at5820           -            475   1.9e-26   91.0   0.3   1   2       4.9   1.4e+03   -4.2   0.3     4    24    50    70    36   101 0.58 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 4671at5820           -            475   1.9e-26   91.0   0.3   2   2   1.1e-28   3.1e-26   90.3   0.0   199   414   188   403   172   409 0.80 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 4671at5820           -            475   2.5e-25   87.3   0.0   1   1   1.5e-27   4.2e-25   86.5   0.0   193   376   396   585   377   610 0.87 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 4671at5820           -            475   2.6e-16   57.6   0.2   1   1   1.5e-18   4.2e-16   56.9   0.2   234   384   347   516   333   595 0.80 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 4671at5820           -            475   8.1e-12   42.7   8.8   1   2   5.1e-11   1.4e-08   32.1   0.0   232   307   595   671   550   701 0.77 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 4671at5820           -            475   8.1e-12   42.7   8.8   2   2   5.2e-06    0.0014   15.5   0.0   336   384   789   839   771   847 0.88 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 4671at5820           -            475   1.4e-10   38.6   0.0   1   1   9.4e-13   2.6e-10   37.8   0.0   233   331   747   850   738   871 0.82 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 4671at5820           -            475   5.4e-09   33.4   0.4   1   1     2e-11   5.4e-09   33.4   0.4   233   421   344   541   322   550 0.73 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4671at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4671at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4671at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:32 2026
# [ok]
