#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080510.1-p1      -           1381 2594at5820           -           1171         0 1352.3  29.6   1   1         0         0 1348.1  29.6     6  1170    11  1380     9  1381 0.85 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2594at5820           -           1171   3.4e-07   26.7  52.6   1   3    0.0024       1.3    4.8  17.1    48   160   786   887   719   920 0.77 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2594at5820           -           1171   3.4e-07   26.7  52.6   2   3   1.2e-08   6.5e-06   22.4  15.7    67   191   873   986   871  1007 0.91 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2594at5820           -           1171   3.4e-07   26.7  52.6   3   3     1e-05    0.0057   12.7   6.6   249   322  1257  1329  1242  1332 0.89 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 2594at5820           -           1171    0.0001   18.5  16.0   1   2    0.0051       2.8    3.8   0.2   166   192    38    64    33    67 0.89 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 2594at5820           -           1171    0.0001   18.5  16.0   2   2     5e-07   0.00028   17.0  11.1   259   296    71   109    64   133 0.87 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2594at5820           -           1171    0.0061   12.6  17.0   1   3   1.9e-05      0.01   11.8   3.9   267   322    29    84    16   104 0.86 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2594at5820           -           1171    0.0061   12.6  17.0   2   3   6.9e-05     0.038    9.9   0.0   791   921   344   562   322   569 0.59 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2594at5820           -           1171    0.0061   12.6  17.0   3   3      0.61   3.4e+02   -3.1   1.7   913   913  1028  1028   961  1072 0.52 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2594at5820           -           1171    0.0063   12.5  19.4   1   2   1.1e-05    0.0061   12.6   2.6   273   299    36    62    34    68 0.91 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2594at5820           -           1171    0.0063   12.5  19.4   2   2    0.0016      0.87    5.4   8.7   259   311    69   120    63   137 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2594at5820           -           1171      0.19    7.7  23.9   1   3   0.00015     0.086    8.8   8.7   251   295    11    55     2    83 0.83 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2594at5820           -           1171      0.19    7.7  23.9   2   3   0.00035      0.19    7.6   2.3   277   317    91   132    85   138 0.87 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2594at5820           -           1171      0.19    7.7  23.9   3   3      0.13        74   -0.9   0.2   693   751   611   660   567   688 0.50 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085209.1-p1      -            148 2594at5820           -           1171      0.32    6.9   7.3   1   1   0.00032      0.17    7.8   4.8   272   315    14    57     8    64 0.70 | transcript=PVX_085209.1 | gene=PVX_085209 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1015550-1016492(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2594at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:48 2026
# [ok]
