#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098705.1-p1      -           1119 3149at5820           -            567  2.2e-246  817.3  55.8   1   5   5.2e-67   2.4e-64  216.3   2.1     1   119     1   134     1   201 0.86 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 3149at5820           -            567   1.1e-12   45.8  29.7   1   3   1.4e-07   6.7e-05   20.1  17.5    38   333    19   330    15   346 0.58 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 3149at5820           -            567   1.1e-12   45.8  29.7   2   3      0.16        72    0.1   0.0   514   543   342   371   330   376 0.77 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 3149at5820           -            567   1.1e-12   45.8  29.7   3   3   4.6e-11   2.1e-08   31.6   2.6   453   559   374   490   368   493 0.81 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   1   6    0.0008      0.37    7.7   0.4    33    70     7    44     2    66 0.59 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   2   6    0.0058       2.7    4.9   0.3   515   557    68   110    60   112 0.89 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   3   6     2e-07   9.3e-05   19.6   0.1   478   561   116   199   112   204 0.94 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   4   6   6.7e-07   0.00031   17.9   1.5   470   510   207   250   197   277 0.75 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   5   6      0.41   1.9e+02   -1.2   0.4   200   237   264   301   253   310 0.66 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 3149at5820           -            567   2.2e-12   44.7  27.8   6   6   3.7e-05     0.017   12.1   0.5   512   554   334   376   324   379 0.92 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 3149at5820           -            567   3.1e-11   41.0   1.7   1   3   1.6e-07   7.2e-05   19.9   0.1   469   539    26    96     3   120 0.79 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 3149at5820           -            567   3.1e-11   41.0   1.7   2   3   3.5e-05     0.016   12.2   0.0   480   559   131   215   126   220 0.78 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 3149at5820           -            567   3.1e-11   41.0   1.7   3   3   0.00058      0.27    8.2   0.4   464   561   212   315   196   317 0.67 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 3149at5820           -            567   5.3e-08   30.3  15.4   1   3     0.005       2.3    5.1   0.5   304   374    98   169    89   216 0.61 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 3149at5820           -            567   5.3e-08   30.3  15.4   2   3   4.2e-06     0.002   15.2   2.7   479   560   220   300   187   306 0.72 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 3149at5820           -            567   5.3e-08   30.3  15.4   3   3     6e-07   0.00028   18.0   0.4   479   557   418   506   376   512 0.72 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 3149at5820           -            567     3e-06   24.5   0.1   1   3      0.18        82   -0.1   0.1   492   565    19    88    15    90 0.64 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 3149at5820           -            567     3e-06   24.5   0.1   2   3     0.098        45    0.8   2.1   469   537    84   147    65   158 0.76 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 3149at5820           -            567     3e-06   24.5   0.1   3   3   6.5e-09     3e-06   24.5   0.1   482   544   228   290   223   297 0.92 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 3149at5820           -            567   3.2e-06   24.4   0.1   1   3      0.23   1.1e+02   -0.4   0.1   493   565    20    88    16    90 0.63 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 3149at5820           -            567   3.2e-06   24.4   0.1   2   3      0.14        64    0.3   2.2   469   537    84   147    65   154 0.76 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 3149at5820           -            567   3.2e-06   24.4   0.1   3   3     7e-09   3.2e-06   24.4   0.1   482   544   228   290   223   309 0.91 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 3149at5820           -            567   5.9e-06   23.5   1.9   1   3   1.1e-07     5e-05   20.5   0.1   292   379    24   115     6   125 0.75 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 3149at5820           -            567   5.9e-06   23.5   1.9   2   3     0.052        24    1.7   0.1   461   510   113   161   101   192 0.73 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 3149at5820           -            567   5.9e-06   23.5   1.9   3   3      0.14        66    0.3   0.1   301   349   235   282   195   309 0.71 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 3149at5820           -            567     0.006   13.6   6.0   1   3     0.041        19    2.1   0.3   478   550    12    92     5   102 0.60 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 3149at5820           -            567     0.006   13.6   6.0   2   3   0.00017      0.08    9.9   2.6   460   557    94   200    77   213 0.68 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 3149at5820           -            567     0.006   13.6   6.0   3   3     0.038        17    2.2   0.0   307   534   223   276   196   285 0.52 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 3149at5820           -            567     0.011   12.7   6.1   1   3     0.034        16    2.3   0.2   478   557    12    99     5   109 0.62 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 3149at5820           -            567     0.011   12.7   6.1   2   3   0.00021     0.095    9.6   2.4   460   557    94   200    77   211 0.68 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 3149at5820           -            567     0.011   12.7   6.1   3   3     0.043        20    2.0   0.0   308   535   224   277   203   304 0.56 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:54 2026
# [ok]
