#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   1  15   4.1e-91   4.5e-88  294.6  12.1     1   213    44   289    44   293 0.87 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  12  15   3.3e-22   3.6e-19   66.1   0.1  1334  1388  2074  2128  2070  2132 0.89 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  13  15   4.5e-61     5e-58  195.0   9.8  1379  1494  2152  2267  2147  2271 0.96 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  14  15   1.8e-57   1.9e-54  183.1   8.2  1490  1611  2302  2424  2299  2426 0.97 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  15  15   1.9e-57   2.1e-54  183.0  12.7  1610  1767  2462  2635  2449  2635 0.89 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 537at5820            -           1767   5.4e-14   49.0  14.1   1   2   3.9e-08   4.4e-05   19.5   0.9   559   725   117   297    92   309 0.69 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 537at5820            -           1767   5.4e-14   49.0  14.1   2   2   1.4e-12   1.5e-09   34.2   6.2   557   750   387   572   358   606 0.79 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 537at5820            -           1767   6.3e-13   45.4   8.4   1   1   7.3e-16   8.1e-13   45.1   8.4   546   741    22   213     4   239 0.79 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 537at5820            -           1767   5.7e-07   25.7   1.4   1   3     0.099   1.1e+02   -1.8   0.8  1654  1691   460   497   396   533 0.69 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 537at5820            -           1767   5.7e-07   25.7   1.4   2   3   5.1e-10   5.7e-07   25.7   1.4   546   639   614   709   605   735 0.83 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 537at5820            -           1767   5.7e-07   25.7   1.4   3   3   0.00022      0.25    7.0   0.2  1434  1485   808   859   786   872 0.86 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 537at5820            -           1767   0.00042   16.2   1.1   1   2   4.3e-07   0.00048   16.0   0.0   530   600    99   173    87   207 0.80 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 537at5820            -           1767   0.00042   16.2   1.1   2   2      0.12   1.4e+02   -2.1   0.2   666   743   254   333   238   342 0.64 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/537at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/537at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/537at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:34 2026
# [ok]
