#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089930.1-p1      -            191 12242at5820          -            175  1.5e-115  381.6   3.3   1   1  1.7e-117  5.1e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 12242at5820          -            175   0.00018   19.8   0.0   1   1   8.5e-07   0.00025   19.4   0.0    27   130    18   125     9   153 0.74 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 12242at5820          -            175   0.00031   19.1   0.0   1   1   1.5e-06   0.00045   18.6   0.0    56   131    56   130     8   148 0.81 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 12242at5820          -            175   0.00046   18.5   0.0   1   1   1.9e-06   0.00057   18.2   0.0    27   134    19   134    10   175 0.75 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 12242at5820          -            175    0.0006   18.1   0.1   1   1   2.8e-06   0.00082   17.7   0.1    59   137    58   137    15   149 0.75 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 12242at5820          -            175   0.00062   18.1   0.0   1   1     3e-06   0.00087   17.6   0.0    58   129    58   129    18   150 0.83 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081430.1-p1      -            214 12242at5820          -            175    0.0018   16.6   0.0   1   1   9.2e-06    0.0027   16.0   0.0    59   129    75   144    62   166 0.84 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 12242at5820          -            175     0.011   14.0   0.0   1   1   5.3e-05     0.015   13.6   0.0    59   131   101   170    52   194 0.86 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123162.1-p1      -            289 12242at5820          -            175     0.029   12.7   0.0   1   2       4.2   1.2e+03   -2.4   0.0    15    35   104   124    98   166 0.70 | transcript=PVX_123162.1 | gene=PVX_123162 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr14:1184722-1186481(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123162.1-p1      -            289 12242at5820          -            175     0.029   12.7   0.0   2   2   0.00029     0.084   11.2   0.0   112   170   223   280   208   284 0.81 | transcript=PVX_123162.1 | gene=PVX_123162 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr14:1184722-1186481(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12242at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:18 2026
# [ok]
