#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101150.1-p1      -           1103 2216at5820           -            639         0 1235.7  55.1   1   4  6.1e-253  3.4e-250  830.2  13.5     1   380     6   394     6   405 0.98 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2216at5820           -            639   3.8e-27   93.3  30.5   4   4       1.1   6.2e+02   -3.2   0.7   475   527   938   990   921  1002 0.71 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   1   6   1.3e-15   7.1e-13   46.2  16.6    33   257   164   414   139   419 0.71 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   2   6   5.1e-19   2.8e-16   57.4   1.2   257   382   498   624   489   666 0.87 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   3   6       3.2   1.8e+03   -4.7   0.6   396   459  1209  1273  1205  1275 0.82 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   4   6        10   5.5e+03  -13.9  13.4   453   515  1460  1522  1367  1572 0.45 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   5   6      0.66   3.7e+02   -2.4   2.2   192   242  1863  1916  1852  1935 0.75 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 2216at5820           -            639     2e-25   87.6  24.9   6   6     0.039        21    1.6   0.8   373   445  3175  3248  3154  3254 0.76 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2216at5820           -            639   2.5e-24   84.0   6.9   1   2   4.6e-27   2.5e-24   84.0   6.9    75   383    92   445     5   512 0.70 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2216at5820           -            639   2.5e-24   84.0   6.9   2   2       1.3   7.1e+02   -3.4   0.2   295   320   856   881   831   900 0.44 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 2216at5820           -            639   1.7e-23   81.2   5.8   1   1     5e-26   2.8e-23   80.6   5.8    75   367   102   402    67   412 0.79 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2216at5820           -            639   1.5e-15   55.0  41.1   1   2   2.8e-18   1.5e-15   55.0  41.1    29   442     1   462     1   522 0.67 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 2216at5820           -            639   1.5e-15   55.0  41.1   2   2      0.93   5.1e+02   -2.9   0.8   464   488   720   744   679   753 0.53 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2216at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:32 2026
# [ok]
