#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092920.1-p1      -            340 10835at5820          -            259  9.5e-133  439.7  36.5   1   1  2.1e-135  1.2e-132  439.4  36.5     4   259    73   328    70   328 0.98 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 10835at5820          -            259   2.6e-08   31.9   9.3   1   2   4.8e-11   2.6e-08   31.9   9.3    35   138    54   160    48   173 0.79 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 10835at5820          -            259   2.6e-08   31.9   9.3   2   2      0.43   2.4e+02   -0.7   0.5    66   108   241   282   236   308 0.71 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 10835at5820          -            259   2.6e-07   28.7   9.9   1   2   2.6e-08   1.4e-05   22.9   3.8   136   219    41   124     9   124 0.78 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 10835at5820          -            259   2.6e-07   28.7   9.9   2   2   1.2e-06   0.00064   17.5   2.8   128   206   101   188    97   194 0.70 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 10835at5820          -            259     1e-05   23.4  21.7   1   2   1.9e-08     1e-05   23.4  21.7    61   225    79   200    69   229 0.54 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 10835at5820          -            259     1e-05   23.4  21.7   2   2        10   5.5e+03   -7.0   6.8   143   143   521   521   457   607 0.51 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 10835at5820          -            259   0.00025   18.9   8.7   1   2     0.012       6.4    4.4   0.8    66   136   168   217   139   223 0.46 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 10835at5820          -            259   0.00025   18.9   8.7   2   2   1.4e-06   0.00077   17.3   1.6    78   135   272   332   267   337 0.83 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 10835at5820          -            259   0.00034   18.4   8.7   1   1     1e-06   0.00057   17.7   8.7    62   160    25   120     6   149 0.77 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 10835at5820          -            259   0.00037   18.3   5.4   1   1   1.1e-06   0.00062   17.6   5.4   136   234    45   150    21   174 0.73 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
