#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   1   6   1.3e-18   4.4e-16   57.0   0.3     2    67     7    80     6    93 0.79 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 2942at5820           -            685   1.8e-26   91.3  13.4   3   3   1.2e-26   3.9e-24   83.6   0.0   480   629   604   754   590   777 0.86 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 2942at5820           -            685   5.3e-26   89.7   0.0   1   3   2.3e-15   7.6e-13   46.3   0.0   480   602   238   360   231   367 0.87 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 2942at5820           -            685   5.3e-26   89.7   0.0   2   3   2.4e-13     8e-11   39.6   0.0   480   558   511   588   504   648 0.84 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 2942at5820           -            685   5.3e-26   89.7   0.0   3   3      0.49   1.6e+02   -1.1   0.0   369   424   656   710   645   720 0.78 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 2942at5820           -            685   6.6e-22   76.2  22.1   1   5   0.00018     0.059   10.3   0.1   475   506   374   406   333   414 0.64 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 2942at5820           -            685   6.6e-22   76.2  22.1   2   5    0.0062         2    5.2   2.2   530   605   483   560   477   567 0.72 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 2942at5820           -            685   6.6e-22   76.2  22.1   3   5      0.11        35    1.1   0.1   367   408   575   616   568   623 0.87 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 2942at5820           -            685   6.6e-22   76.2  22.1   4   5   6.7e-23   2.2e-20   71.2   1.4   480   612   810   942   787   970 0.86 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 2942at5820           -            685   6.6e-22   76.2  22.1   5   5       2.7   8.8e+02   -3.5   0.1   657   684  1104  1131  1096  1132 0.80 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 2942at5820           -            685   9.4e-19   65.8   2.0   1   3       6.3     2e+03   -4.7   9.7    14   102   289   378   285   382 0.89 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 2942at5820           -            685   9.4e-19   65.8   2.0   2   3   2.9e-21   9.4e-19   65.8   2.0   412   606   390   582   379   588 0.86 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 2942at5820           -            685   9.4e-19   65.8   2.0   3   3     0.055        18    2.1   0.1   360   412   590   642   580   662 0.73 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 2942at5820           -            685   1.3e-17   62.0   0.0   1   1   7.1e-20   2.3e-17   61.2   0.0   479   558   167   245   124   301 0.81 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 2942at5820           -            685   9.4e-17   59.2   0.8   1   3      0.28        91   -0.3   3.0   197   255    12    70     4    83 0.81 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 2942at5820           -            685   9.4e-17   59.2   0.8   2   3   2.9e-19   9.4e-17   59.2   0.8   482   599   150   268    95   281 0.83 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 2942at5820           -            685   9.4e-17   59.2   0.8   3   3     0.066        21    1.8   0.0   385   412   322   349   318   372 0.77 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 2942at5820           -            685   2.2e-15   54.7   3.1   1   2   5.3e-13   1.7e-10   38.5   0.0   480   608   286   426   278   455 0.76 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 2942at5820           -            685   2.2e-15   54.7   3.1   2   2   1.4e-05    0.0045   14.0   2.1   470   599   557   688   433   712 0.77 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 2942at5820           -            685   2.1e-13   48.1   0.0   1   1   9.8e-16   3.2e-13   47.5   0.0   480   608   199   329   153   360 0.82 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 2942at5820           -            685   1.5e-12   45.3   0.0   1   2       2.7   8.8e+02   -3.5   0.5   627   650    18    40     6    59 0.46 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 2942at5820           -            685   1.5e-12   45.3   0.0   2   2   9.9e-15   3.2e-12   44.2   0.0   480   640   169   329   160   361 0.82 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094615.1-p1      -            447 2942at5820           -            685     1e-10   39.2   0.0   1   1   4.5e-13   1.5e-10   38.7   0.0   480   610   223   356   205   407 0.81 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 2942at5820           -            685   3.7e-10   37.4   0.0   1   2       7.3   2.4e+03   -4.9   4.6    43   125    19    98     5   114 0.50 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 2942at5820           -            685   3.7e-10   37.4   0.0   2   2   1.1e-12   3.7e-10   37.4   0.0   480   608   280   408   234   441 0.79 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 2942at5820           -            685   7.6e-10   36.3   0.0   1   2     1e-11   3.4e-09   34.2   0.0   479   608   218   350   201   381 0.85 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 2942at5820           -            685   7.6e-10   36.3   0.0   2   2      0.74   2.4e+02   -1.7   0.0   365   408   360   402   353   405 0.79 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 2942at5820           -            685   7.9e-10   36.3   0.0   1   1   3.1e-12     1e-09   35.9   0.0   480   556   193   268   176   354 0.86 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 2942at5820           -            685   1.1e-08   32.5   0.0   1   2     2e-09   6.4e-07   26.7   0.0   482   611   193   327   176   331 0.83 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 2942at5820           -            685   1.1e-08   32.5   0.0   2   2      0.03       9.7    2.9   0.0   368   409   337   378   331   390 0.90 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 2942at5820           -            685   9.2e-06   22.9   0.0   1   1   4.9e-08   1.6e-05   22.1   0.0   483   635   435   593   411   610 0.86 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2942at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2942at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:41 2026
# [ok]
