#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   1  16      0.15   8.4e+02   -3.8   0.3     1    14     1    14     1    15 0.93 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  12  16   4.1e-14   2.3e-10   37.8  16.9   672   726  1478  1532  1434  1547 0.77 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  13  16   7.5e-77   4.1e-73  245.5   6.2   722   832  1583  1693  1567  1716 0.87 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  14  16   1.3e-15   7.2e-12   42.8   3.3   834   889  1737  1792  1719  1820 0.78 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  15  16   9.7e-18   5.3e-14   49.8   0.1   892   928  1870  1906  1866  1918 0.94 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  16  16   1.7e-09   9.4e-06   22.5   0.3   929   961  1967  2003  1954  2003 0.83 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:21 2026
# [ok]
