#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118015.1-p1      -            816 9467at5820           -            281  1.5e-128  426.5  66.8   1   4     8e-46     4e-43  146.2   4.0     5    94    27   116    24   151 0.88 | transcript=PVX_118015.1 | gene=PVX_118015 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:2327219-2329857(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 9467at5820           -            281   4.2e-07   28.0   6.9   2   4     1e-05    0.0052   14.6   2.9     6   113   967  1077   961  1110 0.82 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 9467at5820           -            281   4.2e-07   28.0   6.9   3   4      0.73   3.7e+02   -1.3   1.3    28   132  1072  1174  1049  1192 0.56 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 9467at5820           -            281   4.2e-07   28.0   6.9   4   4   8.5e-10   4.2e-07   28.0   6.9   193   280  1205  1295  1129  1296 0.75 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 9467at5820           -            281   5.2e-06   24.4  14.2   1   3   2.1e-06    0.0011   16.9   4.4    18    95  2111  2187  2096  2206 0.71 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 9467at5820           -            281   5.2e-06   24.4  14.2   2   3     2e-08     1e-05   23.5   2.2    21   101  2213  2296  2195  2327 0.73 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 9467at5820           -            281   5.2e-06   24.4  14.2   3   3     4e-05      0.02   12.7   2.3   188   273  2329  2414  2315  2422 0.88 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091420.1-p1      -            240 9467at5820           -            281   3.4e-05   21.8   1.4   1   2     0.057        29    2.3   0.1    53    79   153   179   147   188 0.78 | transcript=PVX_091420.1 | gene=PVX_091420 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:504403-505606(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091420.1-p1      -            240 9467at5820           -            281   3.4e-05   21.8   1.4   2   2   6.2e-07   0.00031   18.6   0.5    23    69   186   233   175   239 0.81 | transcript=PVX_091420.1 | gene=PVX_091420 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:504403-505606(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 9467at5820           -            281   4.8e-05   21.3  15.7   1   3   1.7e-05    0.0086   13.9   0.1    28    94   999  1066   981  1073 0.82 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 9467at5820           -            281   4.8e-05   21.3  15.7   2   3   4.5e-05     0.023   12.5   6.3    18    83  1886  1951  1873  2028 0.74 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 9467at5820           -            281   4.8e-05   21.3  15.7   3   3       1.9   9.3e+02   -2.6   0.2   195   225  2265  2295  2262  2350 0.67 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 9467at5820           -            281   0.00077   17.3  23.5   1   3   1.6e-06   0.00081   17.3   5.6    11   116    38   156    29   184 0.59 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 9467at5820           -            281   0.00077   17.3  23.5   2   3      0.66   3.3e+02   -1.1   0.7    90   139   486   535   475   538 0.82 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 9467at5820           -            281   0.00077   17.3  23.5   3   3   0.00013     0.067   11.0   2.9   193   277   752   833   740   837 0.79 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_206290-t26_1-p1  -            307 9467at5820           -            281     0.019   12.8   3.2   1   2   2.5e-05     0.012   13.4   1.1   122   190     7    83     3   106 0.70 | transcript=PVX_206290-t26_1 | gene=PVX_206290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001210:98-1021(+) | protein_length=307 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_206290-t26_1-p1  -            307 9467at5820           -            281     0.019   12.8   3.2   2   2       2.3   1.1e+03   -2.9   0.0   138   153   253   268   246   283 0.76 | transcript=PVX_206290-t26_1 | gene=PVX_206290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001210:98-1021(+) | protein_length=307 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_200290-t26_1-p1  -            306 9467at5820           -            281      0.02   12.7   3.2   1   2   2.5e-05     0.012   13.4   1.1   122   190     6    82     2   105 0.70 | transcript=PVX_200290-t26_1 | gene=PVX_200290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001455:3-923(+) | protein_length=306 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_200290-t26_1-p1  -            306 9467at5820           -            281      0.02   12.7   3.2   2   2       2.3   1.1e+03   -2.9   0.0   138   153   252   267   245   282 0.76 | transcript=PVX_200290-t26_1 | gene=PVX_200290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001455:3-923(+) | protein_length=306 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_208290-t26_1-p1  -            338 9467at5820           -            281     0.022   12.6   3.0   1   2     3e-05     0.015   13.1   1.1   122   190     7    83     3   106 0.70 | transcript=PVX_208290-t26_1 | gene=PVX_208290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001016:97-1113(+) | protein_length=338 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_208290-t26_1-p1  -            338 9467at5820           -            281     0.022   12.6   3.0   2   2       2.9   1.5e+03   -3.3   0.0   138   153   253   268   247   280 0.76 | transcript=PVX_208290-t26_1 | gene=PVX_208290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001016:97-1113(+) | protein_length=338 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 9467at5820           -            281     0.057   11.2  19.1   1   2   0.00016     0.083   10.7   0.2    24    83   897   958   874  1020 0.75 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 9467at5820           -            281     0.057   11.2  19.1   2   2   8.7e-05     0.044   11.6   3.5     9    91  1888  1965  1880  1997 0.70 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9467at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:13 2026
# [ok]
