#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117360.1-p1      -           1071 1552at5820           -            902         0 1844.9  36.4   1   3  4.9e-303  3.9e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1552at5820           -            902   1.7e-07   27.9  21.1   1   5      0.11        89   -0.9   0.2   814   872    77   138    67   166 0.68 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1552at5820           -            902   1.7e-07   27.9  21.1   2   5   2.3e-06    0.0018   14.6   1.8     5    93   188   278   184   340 0.77 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1552at5820           -            902   1.7e-07   27.9  21.1   3   5     0.025        19    1.3   0.1   371   434   369   435   351   445 0.81 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1552at5820           -            902   1.7e-07   27.9  21.1   4   5   1.6e-09   1.3e-06   25.1   0.1   469   561   440   529   435   550 0.82 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1552at5820           -            902   1.7e-07   27.9  21.1   5   5       1.5   1.2e+03   -4.6   0.9   720   786   670   738   614   757 0.63 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122540.1-p1      -            123 1552at5820           -            902     0.013   11.8   1.0   1   1   1.9e-05     0.015   11.6   1.0   617   707    15   103     6   115 0.83 | transcript=PVX_122540.1 | gene=PVX_122540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:673766-674308(-) | protein_length=123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1552at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:23 2026
# [ok]
