#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   1  10   8.9e-10   1.6e-06   25.1   0.1     2    33   188   219   187   227 0.90 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 2198at5820           -            663   2.5e-07   27.8   2.4   2   2    0.0017       3.2    4.3   0.3   575   628   773   826   716   834 0.85 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 2198at5820           -            663      0.12    9.1  12.6   1   3     8e-06     0.015   12.0   4.0   247   353    42   155    13   164 0.80 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 2198at5820           -            663      0.12    9.1  12.6   2   3      0.19   3.6e+02   -2.5   0.0   449   476   187   214   160   224 0.74 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 2198at5820           -            663      0.12    9.1  12.6   3   3     0.023        43    0.6   0.6   576   631   229   290   225   303 0.63 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2198at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2198at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2198at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:29 2026
# [ok]
