#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092035.1-p1      -           1441 1203at5820           -           1004         0 1497.4  41.6   1   8   9.9e-16   2.8e-12   43.5   3.8     1    41     1    41     1    55 0.91 | transcript=PVX_092035.1 | gene=PVX_092035 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr09:1040434-1045582(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099200.1-p1      -           1421 1203at5820           -           1004  7.9e-119  396.2  10.5   4   4   7.7e-12   2.1e-08   30.6   0.0   334   451  1150  1274  1142  1283 0.73 | transcript=PVX_099200.1 | gene=PVX_099200 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-phosphofructokinase, putative | transcript_product=6-phosphofructokinase, putative | location=Pv_Sal1_chr07:580500-584765(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1203at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1203at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1203at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:27 2026
# [ok]
