#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085755.1-p1      -            381 8409at5820           -            316    8e-184  608.7  15.5   1   1  4.2e-186  9.3e-184  608.5  15.5     1   316     8   349     8   349 0.96 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 8409at5820           -            316   4.6e-11   41.2   2.2   2   2       3.6   7.9e+02   -2.3   0.3    40    40   269   269   241   351 0.60 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 8409at5820           -            316   9.3e-11   40.2   0.2   1   1   7.6e-13   1.7e-10   39.3   0.2    47   115   298   367   295   377 0.89 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 8409at5820           -            316   9.7e-11   40.1   0.4   1   1   7.1e-13   1.6e-10   39.4   0.4    47   112    84   153    77   164 0.89 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 8409at5820           -            316   2.6e-10   38.7   0.1   1   1   2.2e-12   4.8e-10   37.8   0.1    40   119   119   201    87   247 0.76 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 8409at5820           -            316   5.3e-10   37.7   0.8   1   2   2.4e-12   5.3e-10   37.7   0.8    32   113    18    97     2   104 0.81 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 8409at5820           -            316   5.3e-10   37.7   0.8   2   2       3.3   7.3e+02   -2.2   0.1   171   189   222   240   187   288 0.67 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 8409at5820           -            316   7.4e-10   37.2   1.6   1   1   8.4e-12   1.9e-09   35.9   1.6    47   110     7    76     2    83 0.84 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 8409at5820           -            316   8.2e-10   37.1   1.1   1   2   3.7e-12   8.2e-10   37.1   1.1    48   104     2    58     1    77 0.86 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 8409at5820           -            316   8.2e-10   37.1   1.1   2   2       1.9   4.3e+02   -1.4   5.5    86   144    98   158    67   176 0.66 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094340.1-p1      -           1793 8409at5820           -            316   2.9e-09   35.2   0.7   1   1   2.8e-11   6.3e-09   34.1   0.7    46   113   923   987   914   999 0.92 | transcript=PVX_094340.1 | gene=PVX_094340 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr08:161562-167084(+) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 8409at5820           -            316   1.6e-06   26.2   9.3   1   3   5.8e-06    0.0013   16.7   0.0    47    81     7    41     2    73 0.84 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 8409at5820           -            316   1.6e-06   26.2   9.3   2   3   9.8e-05     0.022   12.7   1.9    86   175   116   204   104   231 0.66 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 8409at5820           -            316   1.6e-06   26.2   9.3   3   3      0.79   1.7e+02   -0.2   1.1   221   299   224   306   211   310 0.65 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122195.1-p1      -            337 8409at5820           -            316   3.5e-06   25.1   2.7   1   1   1.6e-08   3.5e-06   25.1   2.7    44   119   112   187   105   197 0.88 | transcript=PVX_122195.1 | gene=PVX_122195 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr14:368243-369256(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114160.1-p1      -            358 8409at5820           -            316   8.7e-06   23.8   2.2   1   1     7e-08   1.5e-05   23.0   2.2    44   119    67   143    52   159 0.86 | transcript=PVX_114160.1 | gene=PVX_114160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:1208018-1209094(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 8409at5820           -            316   5.2e-05   21.3   0.3   1   1     3e-07   6.7e-05   20.9   0.3    76   113     4    45     1    85 0.84 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 8409at5820           -            316   0.00032   18.7   1.5   1   2      0.36        81    0.9   0.0   144   195    61   111    56   121 0.83 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 8409at5820           -            316   0.00032   18.7   1.5   2   2   6.1e-06    0.0014   16.6   0.7    59   108   121   174   108   200 0.84 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 8409at5820           -            316   0.00066   17.6   0.3   1   2     3e-06   0.00066   17.6   0.3    45    91   171   217   164   233 0.87 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 8409at5820           -            316   0.00066   17.6   0.3   2   2      0.25        55    1.5   1.1    63   111   248   296   232   305 0.83 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 8409at5820           -            316    0.0026   15.7   0.9   1   2   1.8e-05    0.0039   15.1   0.0    46    83     6    43     2    57 0.87 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 8409at5820           -            316    0.0026   15.7   0.9   2   2         2   4.4e+02   -1.5   0.2    90    90   127   127    72   167 0.56 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096125.1-p1      -            115 8409at5820           -            316     0.014   13.3   0.0   1   1   7.6e-05     0.017   13.0   0.0    40    88    57   105    44   114 0.79 | transcript=PVX_096125.1 | gene=PVX_096125 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=Pv_Sal1_chr03:745795-746433(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8409at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:59 2026
# [ok]
