#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083515.1-p1      -            209 12072at5820          -            169  3.1e-105  347.6   3.7   1   1  8.4e-108  3.9e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 12072at5820          -            169   4.1e-09   34.8   0.3   1   1   1.3e-11   6.1e-09   34.3   0.3    35   107    69   142    59   155 0.86 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091990.1-p1      -            424 12072at5820          -            169   7.1e-07   27.5   0.4   1   1   4.1e-09   1.9e-06   26.1   0.4    33   114    43   134    15   155 0.74 | transcript=PVX_091990.1 | gene=PVX_091990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1002227-1005747(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 12072at5820          -            169   3.7e-06   25.2   0.1   1   1     9e-09   4.1e-06   25.0   0.1    38   103    21    85    10   102 0.85 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 12072at5820          -            169   3.7e-06   25.2   0.1   1   1   1.1e-08     5e-06   24.8   0.1    24   100    75   149    60   173 0.85 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 12072at5820          -            169    0.0002   19.6   0.0   1   1   5.2e-07   0.00024   19.3   0.0    38   103    44   108    19   125 0.80 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 12072at5820          -            169     0.005   15.0  11.9   1   4      0.14        65    1.6   0.1    13    74    39    98    20   105 0.72 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 12072at5820          -            169     0.005   15.0  11.9   2   4      0.15        70    1.5   0.4    71   112   156   199   143   215 0.76 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 12072at5820          -            169     0.005   15.0  11.9   3   4   0.00062      0.29    9.3   0.8    62   107   198   243   183   260 0.73 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 12072at5820          -            169     0.005   15.0  11.9   4   4    0.0015      0.71    8.0   0.2    72   120   344   392   332   403 0.89 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099385.1-p1      -            518 12072at5820          -            169     0.011   13.9   0.6   1   2   8.5e-05     0.039   12.1   0.3    48    98    75   126    24   188 0.82 | transcript=PVX_099385.1 | gene=PVX_099385 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr07:733464-735386(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099385.1-p1      -            518 12072at5820          -            169     0.011   13.9   0.6   2   2      0.87     4e+02   -1.0   0.0    42    78   423   465   407   484 0.68 | transcript=PVX_099385.1 | gene=PVX_099385 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr07:733464-735386(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:34 2026
# [ok]
