#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092540.1-p1      -            872 4608at5820           -            541         0 1015.3  88.3   1   5  1.1e-135  9.9e-133  441.8  19.9     1   246     1   262     1   286 0.88 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 4608at5820           -            541   3.8e-13   47.2   8.3   2   3   1.9e-05     0.018   12.0   0.2    35    99   776   843   745   862 0.72 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 4608at5820           -            541   3.8e-13   47.2   8.3   3   3   1.2e-13   1.1e-10   39.0   0.4   309   464   883  1059   866  1068 0.67 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 4608at5820           -            541   9.5e-07   26.0   1.9   1   3      0.15   1.4e+02   -0.9   0.0    60    94   542   580   527   603 0.75 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 4608at5820           -            541   9.5e-07   26.0   1.9   2   3     0.017        16    2.2   0.2   305   339   611   646   598   658 0.81 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 4608at5820           -            541   9.5e-07   26.0   1.9   3   3   3.3e-08     3e-05   21.1   0.0   368   443   719   797   688   808 0.78 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:25 2026
# [ok]
