#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116745.1-p1      -            641 4787at5820           -            540  2.4e-267  886.1  16.6   1   3  3.5e-162  9.8e-160  530.9   0.0     1   314    16   352    16   356 0.96 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 4787at5820           -            540   3.6e-05   20.8  26.0   2   2       4.5   1.2e+03   -4.1   0.5   277   293   339   355   325   373 0.60 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 4787at5820           -            540   0.00011   19.2   6.4   1   1   4.6e-07   0.00013   19.0   5.1    24   118    38   134    24   147 0.76 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091585.1-p1      -            366 4787at5820           -            540   0.00045   17.1   0.2   1   1   2.3e-06   0.00064   16.6   0.2     7   101   261   355   254   365 0.88 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 4787at5820           -            540    0.0013   15.6   0.3   1   2   4.5e-05     0.012   12.4   0.0    21    81   406   467   389   487 0.81 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 4787at5820           -            540    0.0013   15.6   0.3   2   2      0.12        33    1.1   0.0    33    75   488   530   477   688 0.83 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 4787at5820           -            540    0.0016   15.4   3.3   1   3   5.6e-06    0.0016   15.4   3.3     4   109    42   150    38   159 0.79 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 4787at5820           -            540    0.0016   15.4   3.3   2   3   0.00012     0.034   10.9   2.5     7    99   147   243   143   257 0.79 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 4787at5820           -            540    0.0016   15.4   3.3   3   3      0.85   2.4e+02   -1.7   2.9   306   351   233   279   230   301 0.70 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085910.1-p1      -            172 4787at5820           -            540    0.0033   14.3   0.0   1   1   1.4e-05    0.0038   14.1   0.0    33    75    45    88    30   150 0.78 | transcript=PVX_085910.1 | gene=PVX_085910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1625125-1626595(-) | protein_length=172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101185.1-p1      -            309 4787at5820           -            540    0.0068   13.3  17.8   1   2   8.9e-06    0.0025   14.7  13.7    26   153    61   191    53   196 0.87 | transcript=PVX_101185.1 | gene=PVX_101185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2702793-2703722(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101185.1-p1      -            309 4787at5820           -            540    0.0068   13.3  17.8   2   2   0.00089      0.25    8.1   8.9     9   127   110   230   105   243 0.77 | transcript=PVX_101185.1 | gene=PVX_101185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2702793-2703722(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4787at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4787at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4787at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:02 2026
# [ok]
