#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114735.1-p1      -            944 1917at5820           -            794         0 1718.1  34.1   1   3   1.3e-06    0.0009   15.6   0.1     1    22     1    22     1    38 0.83 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1917at5820           -            794   1.5e-70  236.4   5.8   1   3   1.2e-09   8.2e-07   25.6   0.2   143   267   197   337   189   371 0.70 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1917at5820           -            794   1.5e-70  236.4   5.8   2   3   7.9e-64   5.4e-61  204.8   0.2   351   570   378   597   357   614 0.95 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1917at5820           -            794   1.5e-70  236.4   5.8   3   3   0.00067      0.46    6.6   0.1   603   668   710   776   689   792 0.80 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1917at5820           -            794   1.5e-63  213.3  12.7   1   3   7.9e-11   5.4e-08   29.5   0.3   128   270   260   407   253   418 0.79 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1917at5820           -            794   1.5e-63  213.3  12.7   2   3   1.2e-51   8.1e-49  164.5   0.3   337   581   802  1041   791  1049 0.88 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1917at5820           -            794   1.5e-63  213.3  12.7   3   3     1e-09   7.1e-07   25.8   1.6   598   678  1169  1248  1149  1321 0.67 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1917at5820           -            794   3.6e-37  126.0  14.9   1   4   8.8e-05     0.061    9.5   1.7   121   203   316   401   275   407 0.73 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1917at5820           -            794   3.6e-37  126.0  14.9   2   4     0.017        12    2.0   0.0   218   267   510   555   495   564 0.80 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1917at5820           -            794   3.6e-37  126.0  14.9   3   4   1.7e-34   1.2e-31  107.8   2.4   399   569   872  1043   858  1054 0.89 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1917at5820           -            794   3.6e-37  126.0  14.9   4   4   2.1e-05     0.015   11.6   0.1   591   664  1153  1222  1142  1253 0.73 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1917at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1917at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1917at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:20 2026
# [ok]
