#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118640.1-p1      -            928 3557at5820           -            694         0 1099.4  77.8   1   3   3.2e-85   2.9e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 3557at5820           -            694   1.1e-42  144.8   8.1   1   3     3e-14   2.8e-11   41.0   0.6    10   169   185   355   177   361 0.68 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 3557at5820           -            694   1.1e-42  144.8   8.1   2   3    0.0001     0.093    9.5   0.2   277   328   369   419   365   433 0.86 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 3557at5820           -            694   1.1e-42  144.8   8.1   3   3     2e-31   1.9e-28   97.8   0.1   359   685   478   812   460   820 0.84 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3557at5820           -            694   4.9e-42  142.7  45.0   1   4         6   5.5e+03   -7.1   3.7   195   257    54   119    25   137 0.64 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3557at5820           -            694   4.9e-42  142.7  45.0   2   4   3.6e-12   3.3e-09   34.2   1.8    10   168   404   573   395   577 0.81 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3557at5820           -            694   4.9e-42  142.7  45.0   3   4   1.3e-05     0.012   12.5   0.7   277   329   588   639   584   644 0.89 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 3557at5820           -            694   4.9e-42  142.7  45.0   4   4   3.3e-37   3.1e-34  116.9  16.8   358   675   743  1072   726  1092 0.80 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3557at5820           -            694   1.1e-30  105.1  16.0   1   3   6.2e-13   5.8e-10   36.7   1.5    87   167   111   192   107   195 0.89 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3557at5820           -            694   1.1e-30  105.1  16.0   2   3   1.7e-16   1.6e-13   48.4   0.3   358   533   404   578   387   588 0.84 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3557at5820           -            694   1.1e-30  105.1  16.0   3   3   2.1e-10     2e-07   28.3   2.0   537   686   628   785   622   792 0.81 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
