#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098735.1-p1      -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1972at5820           -            810   3.9e-18   63.5  11.8   1   3   1.2e-09     3e-07   27.5   1.6   181   265   272   354   229   362 0.84 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1972at5820           -            810   3.9e-18   63.5  11.8   2   3   4.4e-13   1.1e-10   38.8   2.1   187   286   362   459   354   475 0.86 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 1972at5820           -            810   3.9e-18   63.5  11.8   3   3   1.4e-06   0.00034   17.4   0.5   206   264   421   478   414   500 0.82 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1972at5820           -            810   6.4e-18   62.8  11.7   1   3   9.4e-15   2.4e-12   44.4   1.2   157   263    36   142    19   153 0.86 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1972at5820           -            810   6.4e-18   62.8  11.7   2   3   1.1e-10   2.7e-08   30.9   3.5   152   287   123   252   120   282 0.79 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 1972at5820           -            810   6.4e-18   62.8  11.7   3   3      0.12        31    1.0   0.2   200   232   248   280   237   321 0.57 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1972at5820           -            810   2.7e-17   60.7   8.1   1   2   1.1e-11   2.7e-09   34.3   5.0   112   235    50   164    32   193 0.80 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1972at5820           -            810   2.7e-17   60.7   8.1   2   2   9.3e-10   2.3e-07   27.8   0.2   135   257   197   318   171   321 0.83 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 1972at5820           -            810   4.7e-14   50.0  16.7   1   2     4e-08     1e-05   22.5   9.2    91   292   906  1101   901  1108 0.84 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 1972at5820           -            810   4.7e-14   50.0  16.7   2   2     6e-11   1.5e-08   31.8   1.1   165   263  1109  1206  1098  1212 0.84 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1972at5820           -            810   2.2e-13   47.8   6.6   1   2     2e-07   4.9e-05   20.2   0.3   183   262   248   328   226   338 0.84 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1972at5820           -            810   2.2e-13   47.8   6.6   2   2   1.6e-09   4.1e-07   27.0   1.6   113   261   357   497   335   498 0.71 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1972at5820           -            810   2.1e-12   44.5  16.8   1   2   2.4e-10     6e-08   29.8   1.3   182   283   315   415   305   439 0.84 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1972at5820           -            810   2.1e-12   44.5  16.8   2   2   7.1e-07   0.00018   18.3   8.9    83   261   435   611   422   612 0.77 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1972at5820           -            810   4.9e-12   43.3  16.0   1   3   1.2e-05     0.003   14.3   0.2   145   208   246   306   215   323 0.81 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1972at5820           -            810   4.9e-12   43.3  16.0   2   3   2.2e-06   0.00056   16.7   0.2    95   173   427   503   422   514 0.81 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1972at5820           -            810   4.9e-12   43.3  16.0   3   3   8.3e-07   0.00021   18.1   6.3   141   271   515   639   506   643 0.62 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 1972at5820           -            810   8.2e-12   42.6   6.7   1   2   3.1e-13   7.8e-11   39.3   4.8    67   262   375   561   368   570 0.89 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 1972at5820           -            810   8.2e-12   42.6   6.7   2   2    0.0033      0.82    6.2   0.5   200   268   541   609   526   619 0.77 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1972at5820           -            810   1.3e-07   28.7  29.2   1   3   1.2e-06    0.0003   17.6   7.1   123   255    91   229    88   239 0.73 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1972at5820           -            810   1.3e-07   28.7  29.2   2   3      0.14        34    0.9   1.2   218   294   594   669   587   712 0.55 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 1972at5820           -            810   1.3e-07   28.7  29.2   3   3   1.5e-07   3.7e-05   20.6   2.9   180   289   845   952   806   963 0.89 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 1972at5820           -            810   1.5e-07   28.5   0.1   1   1   1.3e-09   3.3e-07   27.4   0.1   183   274  1709  1798  1665  1855 0.89 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 1972at5820           -            810   2.7e-07   27.7   0.1   1   1   1.6e-09   3.9e-07   27.1   0.1   136   230    61   158    46   171 0.78 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 1972at5820           -            810   1.6e-06   25.1   1.2   1   2      0.21        52    0.2   0.1   147   220   447   517   426   571 0.73 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 1972at5820           -            810   1.6e-06   25.1   1.2   2   2   6.3e-09   1.6e-06   25.1   1.2   113   219   603   704   598   711 0.87 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 1972at5820           -            810   2.1e-06   24.7  13.5   1   2   1.3e-06   0.00033   17.4   0.8   222   283   272   334   252   339 0.82 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 1972at5820           -            810   2.1e-06   24.7  13.5   2   2   2.1e-07   5.2e-05   20.1   6.0    95   176   280   361   271   455 0.62 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 1972at5820           -            810   4.9e-06   23.5   3.0   1   2     5e-08   1.2e-05   22.1   0.6    63   177    94   222    82   242 0.59 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 1972at5820           -            810   4.9e-06   23.5   3.0   2   2      0.25        62    0.0   0.0   138   179   295   333   275   339 0.71 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 1972at5820           -            810   1.5e-05   21.9   0.0   1   1   8.7e-08   2.2e-05   21.3   0.0    96   176   324   405   285   419 0.69 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1972at5820           -            810   3.6e-05   20.6   0.2   1   2   3.3e-07   8.2e-05   19.4   0.3    81   263   361   537   344   555 0.78 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1972at5820           -            810   3.6e-05   20.6   0.2   2   2         1   2.6e+02   -2.1   0.0   185   220   545   578   540   581 0.80 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1972at5820           -            810   0.00013   18.8  12.9   1   3   0.00046      0.12    9.0   2.7   183   263   165   246   132   250 0.75 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1972at5820           -            810   0.00013   18.8  12.9   2   3   2.3e-06   0.00058   16.6   0.5   207   269   232   294   226   303 0.88 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1972at5820           -            810   0.00013   18.8  12.9   3   3   2.4e-05     0.006   13.3   2.7    92   221   252   387   250   400 0.67 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 1972at5820           -            810   0.00013   18.8   9.4   1   2   7.6e-05     0.019   11.6   3.4    97   219    10   133     2   141 0.72 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 1972at5820           -            810   0.00013   18.8   9.4   2   2    0.0002      0.05   10.2   0.4   151   220   190   262   187   306 0.82 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123715.1-p1      -            430 1972at5820           -            810   0.00018   18.3   3.1   1   2     4e-06     0.001   15.8   2.4    83   173   272   366   259   384 0.71 | transcript=PVX_123715.1 | gene=PVX_123715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1689797-1691089(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123715.1-p1      -            430 1972at5820           -            810   0.00018   18.3   3.1   2   2       0.1        25    1.3   0.0   124   168   372   416   366   425 0.85 | transcript=PVX_123715.1 | gene=PVX_123715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1689797-1691089(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1972at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1972at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1972at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:30 2026
# [ok]
