#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079955.1-p1      -            301 11117at5820          -            234  1.8e-112  372.6  49.8   1   2  8.2e-100   4.1e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 11117at5820          -            234   4.3e-12   44.1  35.6   2   2   3.5e-14   1.8e-11   42.1  28.5    27   109    59   143    57   159 0.87 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 11117at5820          -            234   0.00016   19.3  35.6   1   2   0.00041      0.21    9.2  21.8    14   111   114   213   112   216 0.88 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 11117at5820          -            234   0.00016   19.3  35.6   2   2   3.2e-07   0.00016   19.3  35.6    16   122   161   277   155   280 0.86 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114565.1-p1      -            802 11117at5820          -            234     0.013   13.1   1.5   1   2   0.00025      0.13    9.9   2.1    75   176   142   245   105   260 0.68 | transcript=PVX_114565.1 | gene=PVX_114565 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipase, putative | transcript_product=phospholipase, putative | location=Pv_Sal1_chr11:832335-834743(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114565.1-p1      -            802 11117at5820          -            234     0.013   13.1   1.5   2   2      0.78   3.9e+02   -1.6   0.0   163   199   410   446   400   453 0.86 | transcript=PVX_114565.1 | gene=PVX_114565 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipase, putative | transcript_product=phospholipase, putative | location=Pv_Sal1_chr11:832335-834743(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 11117at5820          -            234     0.022   12.4   0.5   1   2       2.6   1.3e+03   -3.3   0.0     3    21     6    24     5    34 0.83 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 11117at5820          -            234     0.022   12.4   0.5   2   2   0.00014     0.069   10.7   0.1   175   227   376   428   370   431 0.88 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085600.1-p1      -            355 11117at5820          -            234     0.025   12.1  17.1   1   1     8e-05      0.04   11.5  17.1    36   124    37   132    32   137 0.80 | transcript=PVX_085600.1 | gene=PVX_085600 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1l, putative | transcript_product=inner membrane complex protein 1l, putative | location=Pv_Sal1_chr13:1349425-1350492(-) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111280.1-p1      -            371 11117at5820          -            234      0.62    7.6  20.6   1   1    0.0032       1.6    6.2  20.6    26   108    38   118    28   148 0.81 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:26 2026
# [ok]
