#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1   1  16   2.8e-22   7.7e-19   65.2   0.2    13   125    34   184     9   189 0.79 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  12  16   2.3e-22   6.3e-19   65.5   0.6   757   802  1392  1437  1390  1440 0.95 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  13  16  4.8e-148  1.3e-144  482.0   2.1   802  1114  1483  1823  1479  1830 0.91 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  14  16   8.3e-07    0.0023   13.9  10.3  1106  1146  1838  1879  1835  1884 0.89 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  15  16   6.3e-88   1.7e-84  282.8   0.2  1146  1308  1924  2087  1910  2092 0.95 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085070.1-p1      -           2316 437at5820            -           1488         0 1833.5  70.1  16  16  2.4e-111  6.7e-108  360.3   4.6  1305  1488  2126  2316  2124  2316 0.96 | transcript=PVX_085070.1 | gene=PVX_085070 | organism=Plasmodium_vivax_Sal-1 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=Pv_Sal1_chr13:882120-889070(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096305.1-p1      -            689 437at5820            -           1488     0.042    9.7   0.1   1   1   2.1e-05     0.059    9.2   0.1  1373  1429   595   652   588   659 0.92 | transcript=PVX_096305.1 | gene=PVX_096305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferrodoxin reductase, putative | transcript_product=ferrodoxin reductase, putative | location=Pv_Sal1_chr03:610312-612381(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:16 2026
# [ok]
