#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123710.1-p1      -            836 3491at5820           -            604  6.2e-302 1001.1  71.4   1   4  4.2e-271  1.4e-268  891.0  42.7     1   464    31   522    31   533 0.96 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 3491at5820           -            604   5.9e-13   46.7  13.7   2   3   9.5e-07   0.00031   17.9   0.0   117   215   390   489   374   499 0.89 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 3491at5820           -            604   5.9e-13   46.7  13.7   3   3   0.00064      0.21    8.6   3.1   333   425   541   640   524   649 0.81 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   1   6      0.11        34    1.2   0.0   114   153    93   132    80   138 0.67 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   2   6     0.017       5.7    3.8   0.4    87   119   194   226   185   238 0.86 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   3   6   4.2e-07   0.00014   19.1   2.8    81   154   346   423   334   431 0.83 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   4   6    0.0019      0.63    7.0   0.3   403   431   426   454   421   493 0.68 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   5   6   0.00023     0.076   10.0   0.1   195   251   549   610   545   634 0.72 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 3491at5820           -            604   1.6e-09   35.4  24.5   6   6    0.0028      0.91    6.4   0.1    78   140   737   797   727   822 0.81 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118330.1-p1      -            596 3491at5820           -            604   3.9e-09   34.1  20.3   1   3     0.021       6.9    3.5   7.5    81   213    34   169    28   181 0.81 | transcript=PVX_118330.1 | gene=PVX_118330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2605021-2607047(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118330.1-p1      -            596 3491at5820           -            604   3.9e-09   34.1  20.3   2   3   1.2e-11   3.9e-09   34.1  20.3    81   253   216   388   199   404 0.88 | transcript=PVX_118330.1 | gene=PVX_118330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2605021-2607047(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118330.1-p1      -            596 3491at5820           -            604   3.9e-09   34.1  20.3   3   3       1.3   4.1e+02   -2.3   0.3   182   243   501   559   493   577 0.76 | transcript=PVX_118330.1 | gene=PVX_118330 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2605021-2607047(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 3491at5820           -            604   1.2e-08   32.4   7.2   1   1   3.3e-07   0.00011   19.4   2.1    66   181   293   408   271   414 0.74 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095335.1-p1      -            634 3491at5820           -            604   1.3e-08   32.4   7.2   1   3   2.9e-08   9.4e-06   22.9   0.1   104   195   156   247   130   257 0.91 | transcript=PVX_095335.1 | gene=PVX_095335 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1015034-1017149(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095335.1-p1      -            634 3491at5820           -            604   1.3e-08   32.4   7.2   2   3    0.0004      0.13    9.2   0.2   260   298   345   383   313   391 0.76 | transcript=PVX_095335.1 | gene=PVX_095335 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1015034-1017149(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095335.1-p1      -            634 3491at5820           -            604   1.3e-08   32.4   7.2   3   3     0.036        12    2.8   0.3   126   198   476   552   448   574 0.78 | transcript=PVX_095335.1 | gene=PVX_095335 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1015034-1017149(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 3491at5820           -            604   2.5e-08   31.4   6.6   1   3       0.3        98   -0.3   0.0   230   265   151   189   118   192 0.75 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 3491at5820           -            604   2.5e-08   31.4   6.6   2   3   1.7e-06   0.00056   17.1   0.5   134   220   240   327   231   356 0.82 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 3491at5820           -            604   2.5e-08   31.4   6.6   3   3   3.2e-06    0.0011   16.1   0.3    84   212   442   576   432   594 0.77 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3491at5820           -            604   1.5e-07   28.9   7.1   1   3         1   3.2e+02   -2.0   0.3   531   583   261   316   241   331 0.59 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3491at5820           -            604   1.5e-07   28.9   7.1   2   3   4.5e-10   1.5e-07   28.9   7.1    56   184   492   620   482   656 0.83 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3491at5820           -            604   1.5e-07   28.9   7.1   3   3      0.37   1.2e+02   -0.6   0.3   314   371   751   808   725   832 0.75 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3491at5820           -            604   3.7e-07   27.5   9.4   1   1   1.4e-09   4.4e-07   27.3   7.8    50   219    59   228    50   273 0.84 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111235.1-p1      -            441 3491at5820           -            604     2e-05   21.8   2.6   1   1   8.6e-08   2.8e-05   21.3   2.6    67   226    76   236    60   276 0.92 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 3491at5820           -            604   3.7e-05   20.9   0.2   1   4       4.3   1.4e+03   -4.1   3.4   202   292    83   171    65   193 0.54 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 3491at5820           -            604   3.7e-05   20.9   0.2   2   4       8.4   2.7e+03   -5.0   2.1   369   407   236   274   228   292 0.58 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 3491at5820           -            604   3.7e-05   20.9   0.2   3   4     0.016       5.3    3.9   1.2   158   251   404   499   387   513 0.83 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114065.1-p1      -            986 3491at5820           -            604   3.7e-05   20.9   0.2   4   4   1.1e-07   3.7e-05   20.9   0.2   139   227   500   586   484   609 0.79 | transcript=PVX_114065.1 | gene=PVX_114065 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1282366-1285476(+) | protein_length=986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 3491at5820           -            604     4e-05   20.8   4.4   1   3    0.0022      0.73    6.8   0.1   142   216    91   167    78   175 0.82 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 3491at5820           -            604     4e-05   20.8   4.4   2   3     0.021       6.7    3.6   0.0   186   253   250   316   243   325 0.83 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 3491at5820           -            604     4e-05   20.8   4.4   3   3   0.00022      0.07   10.1   0.6   144   214   439   509   434   533 0.57 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 3491at5820           -            604   0.00011   19.4  19.7   1   4   5.2e-07   0.00017   18.8   0.6   142   215   198   272   193   275 0.86 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 3491at5820           -            604   0.00011   19.4  19.7   2   4     0.014       4.5    4.2   1.1   354   395   275   317   269   332 0.72 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 3491at5820           -            604   0.00011   19.4  19.7   3   4    0.0012      0.38    7.7   2.3    91   184   465   556   459   599 0.70 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 3491at5820           -            604   0.00011   19.4  19.7   4   4       1.1   3.6e+02   -2.1   0.0   182   212   676   706   673   710 0.89 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 3491at5820           -            604   0.00037   17.6   4.4   1   2     0.012         4    4.3   1.1    47   110    52   115    46   129 0.64 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 3491at5820           -            604   0.00037   17.6   4.4   2   2   1.5e-05    0.0048   13.9   0.1   109   209   152   256   129   261 0.82 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3491at5820           -            604   0.00045   17.4  33.8   1   4    0.0042       1.4    5.9   5.9   148   250   149   250    17   277 0.67 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3491at5820           -            604   0.00045   17.4  33.8   2   4   6.5e-05     0.021   11.8   0.8   125   177   296   348   292   354 0.92 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3491at5820           -            604   0.00045   17.4  33.8   3   4     6e-06     0.002   15.2   6.2   353   461   356   464   349   516 0.87 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3491at5820           -            604   0.00045   17.4  33.8   4   4      0.74   2.4e+02   -1.6   0.4   267   296   889   919   837   926 0.63 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:02 2026
# [ok]
