#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095270.1-p1      -            160 12983at5820          -            142   1.1e-93  309.0   2.5   1   1   4.3e-96   1.7e-93  308.4   2.5     1   142     1   155     1   155 0.96 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083175.1-p1      -            262 12983at5820          -            142   1.6e-12   45.9   0.7   1   1   6.7e-15   2.6e-12   45.2   0.7    24   110   144   231   120   243 0.88 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119410.1-p1      -            139 12983at5820          -            142   2.4e-07   29.1   0.0   1   1     7e-10   2.8e-07   28.9   0.0    32   116    45   132    27   139 0.80 | transcript=PVX_119410.1 | gene=PVX_119410 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:1482131-1482984(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 12983at5820          -            142   2.9e-06   25.6   0.1   1   1   1.3e-08     5e-06   24.9   0.1    24   125   194   299   184   318 0.75 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12983at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12983at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12983at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:23 2026
# [ok]
