#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080240.1-p1      -            701 5024at5820           -            513  1.3e-268  890.1  63.4   1   2    6e-116  5.6e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 5024at5820           -            513   1.2e-05   22.6   1.2   2   2   1.7e-05     0.015   12.3   0.1   456   496   773   813   766   826 0.88 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:04 2026
# [ok]
