#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119415.1-p1      -            896 3773at5820           -            743         0 1235.4  19.0   1   1         0         0 1233.7  19.0     1   742     1   875     1   876 0.83 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3773at5820           -            743       1.3    5.4   8.0   1   3     0.018       7.5    2.9   2.8   154   188    20    58     4   127 0.79 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3773at5820           -            743       1.3    5.4   8.0   2   3      0.35   1.5e+02   -1.3   0.1   602   624   171   193   133   201 0.64 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3773at5820           -            743       1.3    5.4   8.0   3   3    0.0066       2.8    4.4   0.0   347   376   258   287   224   298 0.91 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 3773at5820           -            743       6.4    3.2  20.9   1   1     0.024        10    2.5  20.9   447   505   163   220   110   251 0.42 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 3773at5820           -            743       8.7    2.7  36.8   1   3    0.0097       4.1    3.8   0.0   333   407    72   149    66   163 0.74 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 3773at5820           -            743       8.7    2.7  36.8   2   3       5.4   2.3e+03   -5.3   1.0   277   288   267   278   261   305 0.42 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 3773at5820           -            743       8.7    2.7  36.8   3   3    0.0027       1.1    5.7  26.3   455   512   542   598   502   612 0.48 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 3773at5820           -            743       8.8    2.7  15.9   1   1     0.034        15    2.0  15.9   269   307   481   519   470   531 0.49 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3773at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:38 2026
# [ok]
