#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091445.1-p1      -            167 12375at5820          -            142     7e-91  300.3   1.3   1   2         4     2e+03   -2.7   0.0     1     9     1     9     1    13 0.85 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 12375at5820          -            142   1.4e-05   23.8   0.6   1   2   1.1e-07   5.5e-05   21.9   0.0    38   125    97   184    63   197 0.78 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 12375at5820          -            142   1.4e-05   23.8   0.6   2   2       2.3   1.2e+03   -1.9   0.1    39    73   490   525   468   531 0.62 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12375at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12375at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:39 2026
# [ok]
