#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099300.1-p1      -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 3370at5820           -            675  2.4e-120  401.2  15.0   5   5   6.5e-23   4.5e-20   69.8   1.3   495   659   630   795   622   804 0.82 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3370at5820           -            675   3.7e-60  202.3  17.1   1   3   1.2e-44   8.1e-42  141.7   4.1    21   254   430   676   412   690 0.83 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3370at5820           -            675   3.7e-60  202.3  17.1   2   3   5.3e-22   3.6e-19   66.9   0.2   260   432   919  1100   899  1106 0.85 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 3370at5820           -            675   3.7e-60  202.3  17.1   3   3     0.056        38    0.7   1.1   510   594  1309  1392  1264  1454 0.78 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 3370at5820           -            675   1.6e-44  150.6   2.5   1   2   4.7e-33   3.3e-30  103.4   1.5    21   209   415   616   400   628 0.87 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 3370at5820           -            675   1.6e-44  150.6   2.5   2   2   1.3e-15   8.9e-13   45.7   0.0   236   392   746   895   738   908 0.76 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3370at5820           -            675   5.7e-35  119.1  16.9   1   3   1.4e-11   9.9e-09   32.4   0.3   115   191   107   182     4   191 0.84 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3370at5820           -            675   5.7e-35  119.1  16.9   2   3      0.12        85   -0.5   0.0   205   253   483   533   476   543 0.83 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 3370at5820           -            675   5.7e-35  119.1  16.9   3   3   8.7e-29     6e-26   89.3  10.1   314   656   576   916   560   925 0.83 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3370at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:36 2026
# [ok]
