#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089185.1-p1      -            628 7587at5820           -            324  2.3e-135  449.5  61.9   1   5   9.4e-96   7.4e-93  309.7  36.6     2   155    57   210    56   231 0.95 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 7587at5820           -            324   5.8e-05   20.9  33.0   1   3     0.063        50    1.4   1.0    26    43    42    59    35    62 0.83 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 7587at5820           -            324   5.8e-05   20.9  33.0   2   3   7.3e-08   5.8e-05   20.9  33.0    14    96    52   136    45   152 0.90 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 7587at5820           -            324   5.8e-05   20.9  33.0   3   3       1.5   1.2e+03   -3.1   6.1   155   210   157   214   136   218 0.48 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 7587at5820           -            324   6.3e-05   20.8  32.3   1   2     8e-08   6.3e-05   20.8  32.3    13    96    51   136    39   151 0.90 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 7587at5820           -            324   6.3e-05   20.8  32.3   2   2         7   5.5e+03   -6.5  12.0   185   281   166   225   136   253 0.41 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_111280.1-p1      -            371 7587at5820           -            324      0.58    7.8  21.6   1   2   3.5e-05     0.027   12.1  12.6    74   132    44   106    34   109 0.85 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111280.1-p1      -            371 7587at5820           -            324      0.58    7.8  21.6   2   2      0.57   4.5e+02   -1.7  10.2    22    55    78   119    72   137 0.65 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7587at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:12 2026
# [ok]
