#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482571.1         -            245 12757at5820          -            176  5.1e-110  363.6  18.5   1   2   5.5e-34     2e-31  107.7   1.4     1    56     1    56     1    67 0.97 | transcript=PVW1_040020100_t1 | gene=PVW1_040020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | transcript_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | location=CAJZCX010000013:649939-650676(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480283.1         -            206 12757at5820          -            176   2.1e-30  104.3   1.2   1   1   7.7e-33   2.7e-30  104.0   1.2     3   166     5   176     2   182 0.90 | transcript=PVW1_070008100_t1 | gene=PVW1_070008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | transcript_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | location=CAJZCX010000011:175082-177482(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473249.1         -            229 12757at5820          -            176   2.6e-29  100.8   0.3   1   1     1e-31   3.6e-29  100.3   0.3     5   171     8   182     4   186 0.90 | transcript=PVW1_120028600_t1 | gene=PVW1_120028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | transcript_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | location=CAJZCX010000004:1069192-1070529(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476751.1         -            214 12757at5820          -            176   1.6e-20   72.1   0.0   1   1   5.9e-23   2.1e-20   71.8   0.0     6   164     9   167     4   195 0.93 | transcript=PVW1_090022900_t1 | gene=PVW1_090022900 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | transcript_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | location=CAJZCX010000007:818802-819622(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473169.1         -            224 12757at5820          -            176   4.4e-06   25.1   0.6   1   2      0.24        85    1.4   0.2   113   164    22    76     9    84 0.74 | transcript=PVW1_120021300_t1 | gene=PVW1_120021300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | transcript_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | location=CAJZCX010000004:738882-741025(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473169.1         -            224 12757at5820          -            176   4.4e-06   25.1   0.6   2   2   1.2e-08   4.4e-06   25.1   0.6    78   167   110   206    97   213 0.80 | transcript=PVW1_120021300_t1 | gene=PVW1_120021300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | transcript_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | location=CAJZCX010000004:738882-741025(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481356.1         -            181 12757at5820          -            176   6.3e-06   24.6   0.0   1   1     2e-08   7.1e-06   24.4   0.0     6   121    17   130    12   176 0.69 | transcript=PVW1_060012400_t1 | gene=PVW1_060012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | transcript_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | location=CAJZCX010000012:309424-310885(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481792.1         -            178 12757at5820          -            176   6.8e-06   24.5   1.5   1   1   2.2e-08   7.9e-06   24.3   1.5     9   141    20   146    14   177 0.73 | transcript=PVW1_060026300_t1 | gene=PVW1_060026300 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | location=CAJZCX010000012:869770-870306(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 12757at5820          -            176   0.00023   19.5   1.4   1   1   9.2e-07   0.00033   19.0   1.4     2   165    12   178    11   184 0.73 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479935.1         -            191 12757at5820          -            176     0.048   12.0   0.0   1   1   0.00018     0.065   11.5   0.0    11   122    25   134    17   164 0.74 | transcript=PVW1_050031400_t1 | gene=PVW1_050031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | transcript_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | location=CAJZCX010000010:1088933-1089924(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12757at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:48 2026
# [ok]
