#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473392.1         -            481 5740at5820           -            398  1.3e-190  632.0  45.2   1   1    3e-193    2e-190  631.4  45.2    10   380    24   414    20   426 0.94 | transcript=PVW1_120037600_t1 | gene=PVW1_120037600 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | location=CAJZCX010000004:1368960-1370405(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477753.1         -            282 5740at5820           -            398   3.1e-16   57.9   5.1   1   2   2.4e-12   1.6e-09   35.7   0.9    57   128   116   188    99   194 0.88 | transcript=PVW1_110025000_t1 | gene=PVW1_110025000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | location=CAJZCX010000008:852761-855014(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477753.1         -            282 5740at5820           -            398   3.1e-16   57.9   5.1   2   2   1.1e-08   7.1e-06   23.8   0.2    76   125   197   246   193   249 0.96 | transcript=PVW1_110025000_t1 | gene=PVW1_110025000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | location=CAJZCX010000008:852761-855014(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477859.1         -            185 5740at5820           -            398   9.3e-09   33.3   7.4   1   2      0.51   3.4e+02   -1.5   0.0   306   328    21    43    17    67 0.67 | transcript=PVW1_110030800_t1 | gene=PVW1_110030800 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | transcript_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | location=CAJZCX010000008:1129484-1131250(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477859.1         -            185 5740at5820           -            398   9.3e-09   33.3   7.4   2   2   1.4e-11   9.3e-09   33.3   7.4    50   146    73   173    57   179 0.74 | transcript=PVW1_110030800_t1 | gene=PVW1_110030800 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | transcript_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | location=CAJZCX010000008:1129484-1131250(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5740at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5740at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5740at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:07 2026
# [ok]
