#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478777.1         -            447 6609at5820           -            438  7.1e-302  999.1   7.1   1   1  2.8e-304    8e-302  998.9   7.1     1   438     1   447     1   447 0.99 | transcript=PVW1_080013400_t1 | gene=PVW1_080013400 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | location=CAJZCX010000009:415093-416725(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6609at5820           -            438   6.1e-66  221.6   5.7   1   4   4.3e-09   1.2e-06   26.1   0.0   183   242   345   404   333   436 0.88 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6609at5820           -            438   6.1e-66  221.6   5.7   2   4   3.7e-14   1.1e-11   42.8   0.1   270   410   490   625   468   644 0.88 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6609at5820           -            438   6.1e-66  221.6   5.7   3   4   3.3e-45   9.7e-43  145.1   0.0   178   363   762   944   751   954 0.94 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6609at5820           -            438   6.1e-66  221.6   5.7   4   4    0.0029      0.84    6.9   0.1   383   412  1093  1122  1085  1132 0.82 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 6609at5820           -            438   1.4e-55  187.4   0.2   1   1   4.9e-58   1.4e-55  187.4   0.2   183   424   161   404   156   411 0.93 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476794.1         -            950 6609at5820           -            438     2e-53  180.4   0.1   1   1   1.1e-55   3.3e-53  179.6   0.1   181   410   400   635   367   651 0.85 | transcript=PVW1_090024800_t1 | gene=PVW1_090024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:886169-889021(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 6609at5820           -            438     1e-52  178.0   0.7   1   1   5.7e-55   1.7e-52  177.3   0.7   180   425   247   488   208   500 0.89 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 6609at5820           -            438     3e-45  153.4   8.8   1   2    0.0011      0.31    8.4   0.0   192   294   219   321   197   325 0.73 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 6609at5820           -            438     3e-45  153.4   8.8   2   2   9.8e-47   2.8e-44  150.2   0.1   178   414   568   802   545   818 0.91 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 6609at5820           -            438   1.3e-38  131.5   2.0   1   3         4   1.2e+03   -3.4   0.1   295   348    64   116    46   122 0.64 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 6609at5820           -            438   1.3e-38  131.5   2.0   2   3   4.3e-37   1.2e-34  118.4   0.1   202   405   273   490   241   517 0.83 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 6609at5820           -            438   1.3e-38  131.5   2.0   3   3   7.9e-05     0.023   12.1   0.0   219   286   572   640   542   648 0.85 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 6609at5820           -            438   1.3e-35  121.7   0.0   1   2   5.2e-37   1.5e-34  118.2   0.0   180   364   115   294   101   302 0.88 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 6609at5820           -            438   1.3e-35  121.7   0.0   2   2      0.18        52    1.0   0.0   377   405   325   353   316   366 0.85 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 6609at5820           -            438   4.3e-31  106.8   0.1   1   2      0.58   1.7e+02   -0.6   2.2    27   104   260   340   237   353 0.74 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 6609at5820           -            438   4.3e-31  106.8   0.1   2   2   1.5e-33   4.3e-31  106.8   0.1   172   400   413   641   402   648 0.83 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 6609at5820           -            438   1.4e-22   78.7   0.0   1   2     7e-18     2e-15   55.1   0.0   210   314   574   679   539   698 0.79 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 6609at5820           -            438   1.4e-22   78.7   0.0   2   2   1.4e-07     4e-05   21.2   0.0   324   371   777   824   757   831 0.87 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 6609at5820           -            438     1e-09   36.3   0.0   1   2    0.0052       1.5    6.1   0.0   198   239   235   276   224   295 0.83 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 6609at5820           -            438     1e-09   36.3   0.0   2   2   1.1e-09   3.2e-07   28.1   0.0   305   363   364   422   345   450 0.87 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 6609at5820           -            438   1.9e-09   35.5   0.0   1   1     1e-11     3e-09   34.8   0.0   217   357   345   503   323   512 0.77 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 6609at5820           -            438   4.8e-08   30.8   0.0   1   1   2.9e-10   8.3e-08   30.0   0.0   215   317   744   848   741   891 0.80 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 6609at5820           -            438   1.2e-07   29.5   0.0   1   1   4.2e-10   1.2e-07   29.5   0.0   218   369   344   493   321   518 0.85 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6609at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6609at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:43 2026
# [ok]
