#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471812.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   1   6   5.8e-16     5e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 1667at5820           -           1065   2.3e-48  163.4   8.6   2   4   1.7e-23   1.4e-20   71.4   0.4   209   374    77   231    69   236 0.85 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 1667at5820           -           1065   2.3e-48  163.4   8.6   3   4   8.1e-23     7e-20   69.1   0.8   454   545   359   450   270   538 0.76 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 1667at5820           -           1065   2.3e-48  163.4   8.6   4   4      0.43   3.7e+02   -2.8   0.1   868   907   767   806   756   808 0.83 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 1667at5820           -           1065   5.3e-46  155.6  11.9   1   3         7   6.1e+03  -10.4  12.9    10   112    19   129    11   143 0.69 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 1667at5820           -           1065   5.3e-46  155.6  11.9   2   3   6.1e-49   5.3e-46  155.6  11.9   139   545   375   783   360   848 0.79 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 1667at5820           -           1065   5.3e-46  155.6  11.9   3   3      0.87   7.5e+02   -3.9   1.6   717   718  1004  1005   954  1069 0.38 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 1667at5820           -           1065   1.8e-30  104.2  17.1   1   2   1.8e-24   1.6e-21   74.5   6.7   155   334   410   586   395   615 0.82 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 1667at5820           -           1065   1.8e-30  104.2  17.1   2   2   2.1e-12   1.8e-09   34.6   2.7   461   572   770   881   760   898 0.79 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1667at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:00 2026
# [ok]
