#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479330.1         -            869 4376at5820           -            577  5.8e-293  971.0  59.4   1   6  4.5e-114  3.4e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVW1_080041900_t1 | gene=PVW1_080041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | transcript_product=Inner membrane complex protein 1a, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW84] | location=CAJZCX010000009:1583710-1587032(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473131.1         -           1264 4376at5820           -            577   4.7e-16   56.7  43.4   2   2      0.48   3.7e+02   -2.4  23.3   262   344   760   840   750   851 0.81 | transcript=PVW1_120017800_t1 | gene=PVW1_120017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:596283-600441(-) | protein_length=1264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 4376at5820           -            577   1.4e-08   32.0  36.2   1   4   2.5e-05     0.019   11.8  12.1    99   152    99   152    89   156 0.71 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 4376at5820           -            577   1.4e-08   32.0  36.2   2   4   1.8e-11   1.4e-08   32.0  36.2    78   192   124   236   123   238 0.87 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 4376at5820           -            577   1.4e-08   32.0  36.2   3   4    0.0024       1.8    5.3   9.8    98   139   222   267   217   279 0.76 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479328.1         -            530 4376at5820           -            577   1.4e-08   32.0  36.2   4   4       1.6   1.2e+03   -4.1  12.5    76   160   252   334   251   342 0.56 | transcript=PVW1_080041800_t1 | gene=PVW1_080041800 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | transcript_product=Inner membrane complex protein 1e, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVF2] | location=CAJZCX010000009:1578443-1580035(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473240.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   1   3   1.4e-08   1.1e-05   22.5  30.4    77   190   156   271   142   280 0.83 | transcript=PVW1_120027600_t1 | gene=PVW1_120027600 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | transcript_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | location=CAJZCX010000004:1039128-1040456(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473240.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   2   3     0.016        12    2.5  21.8   100   167   224   296   223   301 0.69 | transcript=PVW1_120027600_t1 | gene=PVW1_120027600 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | transcript_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | location=CAJZCX010000004:1039128-1040456(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473240.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   3   3       5.3     4e+03   -5.8  21.7    91   144   245   303   244   335 0.60 | transcript=PVW1_120027600_t1 | gene=PVW1_120027600 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | transcript_product=Inner membrane complex protein 1k, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H101] | location=CAJZCX010000004:1039128-1040456(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474810.1         -            301 4376at5820           -            577   0.00027   17.9  41.0   1   2   6.4e-05     0.049   10.4  10.4    96   138    44    86    31    90 0.77 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474810.1         -            301 4376at5820           -            577   0.00027   17.9  41.0   2   2   6.4e-05     0.049   10.4  26.9    92   221    88   216    78   239 0.77 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4376at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:14 2026
# [ok]
