#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481775.1         -            191 11721at5820          -            163  1.7e-109  361.4   1.6   1   1  4.4e-112    2e-109  361.1   1.6     1   163    19   191    19   191 0.97 | transcript=PVW1_060025500_t1 | gene=PVW1_060025500 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUQ1] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUQ1] | location=CAJZCX010000012:842653-844173(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476169.1         -            301 11721at5820          -            163   8.2e-05   21.0   0.1   1   2      0.12        54    2.1   0.0    45    59    51    65    35   142 0.87 | transcript=PVW1_130042400_t1 | gene=PVW1_130042400 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A370] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A370] | location=CAJZCX010000006:1636926-1639102(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476169.1         -            301 11721at5820          -            163   8.2e-05   21.0   0.1   2   2   3.5e-06    0.0016   16.8   0.1    28    87   204   263   195   282 0.81 | transcript=PVW1_130042400_t1 | gene=PVW1_130042400 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A370] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A370] | location=CAJZCX010000006:1636926-1639102(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473198.1         -            262 11721at5820          -            163   0.00053   18.4   0.1   1   1   1.7e-06   0.00082   17.7   0.1    26    81   165   220   152   245 0.85 | transcript=PVW1_120023900_t1 | gene=PVW1_120023900 | organism=Plasmodium_vivax_PvW1 | gene_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH0] | transcript_product=UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH0] | location=CAJZCX010000004:851245-852033(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11721at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11721at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11721at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:27 2026
# [ok]
