#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480540.1         -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3370at5820           -            675  4.4e-120  400.5  14.6   5   5     7e-23   5.3e-20   69.7   1.3   495   659   665   830   657   839 0.82 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 3370at5820           -            675   3.9e-60  202.4  17.1   1   3   1.2e-44   8.8e-42  141.7   4.1    21   254   420   666   402   680 0.83 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 3370at5820           -            675   3.9e-60  202.4  17.1   2   3   5.2e-22     4e-19   66.9   0.2   260   432   909  1090   889  1096 0.85 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471812.1         -           1608 3370at5820           -            675   3.9e-60  202.4  17.1   3   3     0.055        42    0.7   1.1   510   594  1299  1382  1254  1444 0.78 | transcript=PVW1_140009800_t1 | gene=PVW1_140009800 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJR0] | location=CAJZCX010000003:231224-236371(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 3370at5820           -            675   1.8e-44  150.6   2.5   1   2   4.6e-33   3.5e-30  103.4   1.5    21   209   409   610   394   622 0.87 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 3370at5820           -            675   1.8e-44  150.6   2.5   2   2   1.3e-15   9.6e-13   45.8   0.0   236   392   736   885   728   898 0.76 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474044.1         -            928 3370at5820           -            675   6.3e-35  119.1  16.9   1   3   1.4e-11   1.1e-08   32.4   0.3   115   191   107   182     4   191 0.84 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474044.1         -            928 3370at5820           -            675   6.3e-35  119.1  16.9   2   3      0.12        93   -0.5   0.0   205   253   483   533   476   543 0.83 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474044.1         -            928 3370at5820           -            675   6.3e-35  119.1  16.9   3   3   8.7e-29   6.6e-26   89.3  10.1   314   656   576   916   560   925 0.83 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3370at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:37 2026
# [ok]
