#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476543.1         -           1396 1490at5820           -            978         0 1949.5  90.3   1   6     0.023        11    2.0   0.1     1    16     1    16     1    23 0.86 | transcript=PVW1_090010100_t1 | gene=PVW1_090010100 | organism=Plasmodium_vivax_PvW1 | gene_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | transcript_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | location=CAJZCX010000007:307986-312941(-) | protein_length=1396 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   1   6   3.8e-44   1.8e-41  140.3   0.0    78   281   342   548   335   558 0.89 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   2   6    0.0017       0.8    5.7   1.0   275   408   594   750   587   776 0.67 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   3   6   9.2e-45   4.3e-42  142.3   0.5   407   542  1220  1355  1212  1388 0.93 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   4   6       3.6   1.7e+03   -5.3   1.5   624   660  1763  1797  1757  1801 0.80 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   5   6       6.4     3e+03   -6.1   4.3   635   724  2319  2409  2303  2437 0.58 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477856.1         -           2948 1490at5820           -            978   7.5e-82  273.9   0.6   6   6      0.27   1.3e+02   -1.5   0.1   572   604  2595  2627  2582  2637 0.87 | transcript=PVW1_110030500_t1 | gene=PVW1_110030500 | organism=Plasmodium_vivax_PvW1 | gene_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | transcript_product=SNF2 helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFD4] | location=CAJZCX010000008:1109625-1118471(-) | protein_length=2948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 1490at5820           -            978   7.5e-66  221.0  57.6   1   5   9.9e-40   4.6e-37  125.7  20.6     4   268   144   415   140   430 0.83 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 1490at5820           -            978   7.5e-66  221.0  57.6   2   5   0.00042      0.19    7.8   2.5   285   339   534   588   507   596 0.81 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 1490at5820           -            978   7.5e-66  221.0  57.6   3   5      0.27   1.2e+02   -1.5   0.0   347   371   723   748   715   775 0.76 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 1490at5820           -            978   7.5e-66  221.0  57.6   4   5   2.7e-05     0.013   11.7   0.3   379   426   809   856   796   872 0.82 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 1490at5820           -            978   7.5e-66  221.0  57.6   5   5   1.8e-31   8.2e-29   98.4   0.1   432   536   979  1082   953  1092 0.94 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485086.1         -           1091 1490at5820           -            978   9.4e-66  220.7  17.4   1   2   6.1e-41   2.8e-38  129.7   9.0    86   391   127   454   104   468 0.78 | transcript=PVW1_010021200_t1 | gene=PVW1_010021200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:736935-740210(-) | protein_length=1091 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485086.1         -           1091 1490at5820           -            978   9.4e-66  220.7  17.4   2   2   9.5e-31   4.4e-28   96.0   1.2   387   562   526   699   514   718 0.89 | transcript=PVW1_010021200_t1 | gene=PVW1_010021200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:736935-740210(-) | protein_length=1091 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 1490at5820           -            978   4.3e-42  142.3  12.9   1   4   7.6e-10   3.6e-07   26.8   0.2    76   132   216   273   161   283 0.82 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 1490at5820           -            978   4.3e-42  142.3  12.9   2   4    0.0094       4.4    3.3   0.2   137   195   373   429   367   443 0.75 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 1490at5820           -            978   4.3e-42  142.3  12.9   3   4   3.7e-14   1.7e-11   41.1   0.0   193   259   951  1018   948  1047 0.90 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 1490at5820           -            978   4.3e-42  142.3  12.9   4   4   9.2e-25   4.3e-22   76.1   1.3   387   542  1416  1572  1391  1584 0.87 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 1490at5820           -            978   5.7e-37  125.4  15.1   1   3   1.8e-07   8.6e-05   18.9   0.9   106   198   724   841   685   852 0.62 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 1490at5820           -            978   5.7e-37  125.4  15.1   2   3   7.4e-18   3.5e-15   53.3   0.8   197   371   953  1136   948  1148 0.80 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 1490at5820           -            978   5.7e-37  125.4  15.1   3   3   1.1e-18     5e-16   56.1   0.9   394   549  1330  1507  1265  1523 0.80 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477692.1         -            877 1490at5820           -            978   1.3e-35  120.9  10.5   1   1   4.3e-37     2e-34  117.0  10.5    81   556   310   782   291   801 0.74 | transcript=PVW1_110019900_t1 | gene=PVW1_110019900 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZK5] | transcript_product=DNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZK5] | location=CAJZCX010000008:644945-647578(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 1490at5820           -            978   4.5e-07   26.4   0.2   1   1   1.5e-09   6.8e-07   25.8   0.2   384   507   338   452   332   467 0.87 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 1490at5820           -            978   9.6e-05   18.7   0.2   1   1   3.3e-07   0.00015   18.0   0.2   409   534   377   496   350   525 0.82 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 1490at5820           -            978    0.0041   13.3   0.1   1   1   1.6e-05    0.0076   12.4   0.1   396   514   843   956   825   963 0.82 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1490at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1490at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1490at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:38 2026
# [ok]
