#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476791.1         -            478 6501at5820           -            376  6.9e-218  721.4  24.9   1   2   1.2e-73   1.4e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6501at5820           -            376   6.3e-09   33.7  10.4   3   3       1.5   1.8e+03   -4.0   0.5   122   166   551   596   538   609 0.46 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476759.1         -            155 6501at5820           -            376   0.00092   16.7   0.8   1   1   9.3e-07    0.0011   16.5   0.8    68   126    80   138    53   151 0.84 | transcript=PVW1_090023300_t1 | gene=PVW1_090023300 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | location=CAJZCX010000007:835907-836518(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:13 2026
# [ok]
