#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471928.1         -            458 6472at5820           -            409  7.7e-271  896.5  30.8   1   2  6.5e-139  7.9e-136  451.9  16.1     1   214     1   223     1   227 0.97 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6472at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6472at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6472at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:07 2026
# [ok]
