#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475512.1         -            381 7279at5820           -            532         0 1121.8  36.0   1   3  1.5e-111  7.6e-109  362.7   6.7   229   379     1   151     1   151 1.00 | transcript=PVW1_130017800_t1 | gene=PVW1_130017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | transcript_product=Polyubiquitin 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2X7] | location=CAJZCX010000006:594855-596492(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 7279at5820           -            532     0.025   11.2   0.0   1   1   9.1e-05     0.046   10.3   0.0    92   142    19    68     2    79 0.34 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7279at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7279at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7279at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:53 2026
# [ok]
