#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472135.1         -            943 4272at5820           -            672         0 1062.5  49.2   1   5     8e-21   3.7e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481681.1         -            441 4272at5820           -            672   1.2e-07   28.8   9.0   3   3   2.8e-07   0.00013   18.8   0.2   476   608   258   390   245   435 0.82 | transcript=PVW1_060021400_t1 | gene=PVW1_060021400 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W4] | location=CAJZCX010000012:689438-690763(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 4272at5820           -            672   1.4e-06   25.3   1.2   1   2      0.12        57    0.2   5.5   313   390   398   474   384   484 0.85 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477918.1         -            986 4272at5820           -            672   1.4e-06   25.3   1.2   2   2     3e-09   1.4e-06   25.3   1.2   292   389   491   588   476   605 0.79 | transcript=PVW1_110036300_t1 | gene=PVW1_110036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1351858-1355007(+) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481478.1         -            446 4272at5820           -            672   5.7e-06   23.3   2.1   1   2   0.00034      0.16    8.6   0.1   330   379    61   110    47   119 0.88 | transcript=PVW1_060016200_t1 | gene=PVW1_060016200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | location=CAJZCX010000012:495385-497395(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481478.1         -            446 4272at5820           -            672   5.7e-06   23.3   2.1   2   2     7e-06    0.0033   14.2   0.2   497   606   329   437   325   440 0.93 | transcript=PVW1_060016200_t1 | gene=PVW1_060016200 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE0] | location=CAJZCX010000012:495385-497395(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 4272at5820           -            672   3.9e-05   20.5   8.9   1   5      0.24   1.1e+02   -0.8   9.2    66   114    54    97    42   114 0.38 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 4272at5820           -            672   3.9e-05   20.5   8.9   2   5      0.18        83   -0.4   0.1   291   340   189   244   174   267 0.58 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 4272at5820           -            672   3.9e-05   20.5   8.9   3   5   8.4e-08   3.9e-05   20.5   8.9   212   386   265   440   254   446 0.92 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 4272at5820           -            672   3.9e-05   20.5   8.9   4   5   6.9e-06    0.0032   14.2   7.8   221   380   348   508   343   517 0.90 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 4272at5820           -            672   3.9e-05   20.5   8.9   5   5    0.0026       1.2    5.7   7.5   215   353   454   598   450   619 0.65 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   1   8       2.1     1e+03   -4.0   0.2   216   260   121   165    77   188 0.48 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   2   8     0.012       5.6    3.5   0.0   216   244   302   330   259   339 0.84 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   3   8    0.0014      0.64    6.6   1.8   215   308   410   503   407   511 0.91 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   4   8     0.015       6.8    3.2   0.1   212   251   526   565   507   569 0.84 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   5   8    0.0018      0.86    6.2   0.5   324   385   641   702   621   717 0.82 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   6   8      0.11        51    0.3   6.4   213   308   715   808   700   814 0.84 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   7   8     0.051        24    1.4   0.3   450   537   863   950   852   962 0.80 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 4272at5820           -            672     0.002   14.9   0.2   8   8   4.2e-06     0.002   14.9   0.2   548   605  1032  1089  1028  1100 0.90 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483361.1         -            360 4272at5820           -            672    0.0078   12.9   0.7   1   1   2.3e-05     0.011   12.5   0.7   491   571   156   235   141   239 0.90 | transcript=PVW1_030018800_t1 | gene=PVW1_030018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:625287-626369(-) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 4272at5820           -            672       2.5    4.6  15.1   1   1    0.0063       2.9    4.4  15.1    38   112    59   134    41   151 0.51 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 4272at5820           -            672       3.6    4.1  17.4   1   4    0.0064         3    4.4   0.0   327   351   197   221   186   244 0.74 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 4272at5820           -            672       3.6    4.1  17.4   2   4     0.013       6.2    3.3   4.4   238   288   341   390   333   404 0.77 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 4272at5820           -            672       3.6    4.1  17.4   3   4    0.0087       4.1    3.9   0.4   215   265   393   445   390   451 0.84 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478120.1         -           1207 4272at5820           -            672       3.6    4.1  17.4   4   4      0.27   1.3e+02   -1.0   0.2    31    52   584   605   554   639 0.62 | transcript=PVW1_110046600_t1 | gene=PVW1_110046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1757881-1761504(-) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:59 2026
# [ok]
