#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480587.1         -            846 3825at5820           -            620         0 1151.6  53.8   1   2   2.9e-98   1.8e-95  319.1  12.2     1   182     1   196     1   208 0.93 | transcript=PVW1_070026900_t1 | gene=PVW1_070026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | transcript_product=Dynein intermediate chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAP1] | location=CAJZCX010000011:972211-975804(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 3825at5820           -            620     1e-05   22.6   7.5   3   3   0.00014     0.085    9.6   0.1   340   368   292   320   289   322 0.94 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475674.1         -            509 3825at5820           -            620     3e-05   21.1   4.6   1   3      0.28   1.7e+02   -1.2   2.6   321   372   122   173   105   226 0.70 | transcript=PVW1_130023100_t1 | gene=PVW1_130023100 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | location=CAJZCX010000006:849827-852023(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475674.1         -            509 3825at5820           -            620     3e-05   21.1   4.6   2   3   4.9e-08     3e-05   21.1   4.6   408   506   328   436   326   441 0.74 | transcript=PVW1_130023100_t1 | gene=PVW1_130023100 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | location=CAJZCX010000006:849827-852023(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475674.1         -            509 3825at5820           -            620     3e-05   21.1   4.6   3   3      0.75   4.5e+02   -2.7   0.1   473   508   460   495   453   496 0.71 | transcript=PVW1_130023100_t1 | gene=PVW1_130023100 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL8] | location=CAJZCX010000006:849827-852023(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481766.1         -            706 3825at5820           -            620   0.00014   18.8   0.3   1   3   2.4e-07   0.00014   18.8   0.3   470   513   183   226   145   262 0.80 | transcript=PVW1_060025100_t1 | gene=PVW1_060025100 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | transcript_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | location=CAJZCX010000012:827729-829849(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481766.1         -            706 3825at5820           -            620   0.00014   18.8   0.3   2   3     0.028        17    2.0   0.5   434   507   249   329   236   342 0.66 | transcript=PVW1_060025100_t1 | gene=PVW1_060025100 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | transcript_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | location=CAJZCX010000012:827729-829849(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481766.1         -            706 3825at5820           -            620   0.00014   18.8   0.3   3   3      0.77   4.7e+02   -2.7   0.1   367   388   539   560   533   590 0.87 | transcript=PVW1_060025100_t1 | gene=PVW1_060025100 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | transcript_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | location=CAJZCX010000012:827729-829849(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 3825at5820           -            620   0.00015   18.7   1.5   1   3         9   5.4e+03   -6.2   2.9   159   233   110   182   107   197 0.44 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 3825at5820           -            620   0.00015   18.7   1.5   2   3   7.8e-05     0.047   10.5   8.8   394   515   386   505   371   515 0.79 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 3825at5820           -            620   0.00015   18.7   1.5   3   3   2.5e-07   0.00015   18.7   1.5   442   507   516   581   509   592 0.87 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 3825at5820           -            620   0.00044   17.2   1.1   1   3       0.2   1.2e+02   -0.8   0.0   429   458   205   234   169   247 0.81 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 3825at5820           -            620   0.00044   17.2   1.1   2   3   9.8e-06    0.0059   13.5   0.2   465   550   318   405   313   410 0.81 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 3825at5820           -            620   0.00044   17.2   1.1   3   3      0.13        77   -0.1   0.1   286   311   426   450   417   454 0.73 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 3825at5820           -            620     0.001   16.0  12.8   1   4       1.6   9.7e+02   -3.8   0.6   558   606   107   155    99   159 0.74 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 3825at5820           -            620     0.001   16.0  12.8   2   4      0.16        98   -0.5   0.0   354   371   281   298   270   309 0.76 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 3825at5820           -            620     0.001   16.0  12.8   3   4   1.8e-05     0.011   12.6   0.3   427   513   336   427   305   429 0.80 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 3825at5820           -            620     0.001   16.0  12.8   4   4   2.5e-05     0.015   12.1   0.2   471   552   427   508   422   530 0.69 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3825at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:53 2026
# [ok]
