#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476892.1         -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.9e-07     9e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 5094at5820           -            473   4.7e-07   27.2   1.5   2   3   4.5e-09   2.1e-06   25.1   0.1    86   168   794   879   776   936 0.85 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 5094at5820           -            473   4.7e-07   27.2   1.5   3   3      0.15        68    0.3   0.0   281   331   983  1032   946  1057 0.74 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 5094at5820           -            473    0.0004   17.6   0.1   1   1     2e-06   0.00093   16.3   0.1    39   152    43   150    34   176 0.79 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471938.1         -           1071 5094at5820           -            473   0.00041   17.5   0.0   1   1   1.6e-06   0.00077   16.6   0.0   104   236   241   367   231   371 0.82 | transcript=PVW1_140019600_t1 | gene=PVW1_140019600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:646499-649714(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 5094at5820           -            473    0.0011   16.1   3.0   1   3   3.6e-06    0.0017   15.5   0.1    36   155    24   130    17   144 0.83 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 5094at5820           -            473    0.0011   16.1   3.0   2   3      0.84   3.9e+02   -2.2   0.0   252   352   420   520   413   533 0.68 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 5094at5820           -            473    0.0011   16.1   3.0   3   3       1.1     5e+02   -2.5   0.1   410   436   940   966   926   972 0.80 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 5094at5820           -            473    0.0035   14.5   0.2   1   2   3.8e-05     0.018   12.1   0.1    77   168   219   306   187   341 0.72 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 5094at5820           -            473    0.0035   14.5   0.2   2   2      0.39   1.8e+02   -1.1   0.0   254   330   350   429   338   469 0.66 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 5094at5820           -            473    0.0077   13.3   0.1   1   3     0.095        44    0.9   0.0    38    61     4    27     2    42 0.81 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 5094at5820           -            473    0.0077   13.3   0.1   2   3   0.00043       0.2    8.7   0.0   117   197   127   199   121   229 0.75 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 5094at5820           -            473    0.0077   13.3   0.1   3   3      0.43     2e+02   -1.2   0.0   285   374   368   459   344   471 0.67 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476207.1         -            465 5094at5820           -            473      0.01   12.9   0.4   1   2     0.035        16    2.4   0.0    24    57    21    55    10    74 0.80 | transcript=PVW1_130044700_t1 | gene=PVW1_130044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | transcript_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | location=CAJZCX010000006:1736926-1738323(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476207.1         -            465 5094at5820           -            473      0.01   12.9   0.4   2   2   0.00049      0.23    8.5   0.1   115   184   122   185   111   335 0.74 | transcript=PVW1_130044700_t1 | gene=PVW1_130044700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | transcript_product=Protein-synthesizing GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3R3] | location=CAJZCX010000006:1736926-1738323(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5094at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:17 2026
# [ok]
