#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477208.1         -            735 6007at5820           -            530  8.6e-236  782.0  14.4   1   3   1.2e-32     1e-29  102.0   0.2     6    75    22    92    17   110 0.90 | transcript=PVW1_090047200_t1 | gene=PVW1_090047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY27] | location=CAJZCX010000007:1893179-1895386(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6007at5820           -            530   5.6e-06   23.6  22.6   4   5     0.095        82   -0.0   6.7   113   210   430   489   422   597 0.68 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 6007at5820           -            530   5.6e-06   23.6  22.6   5   5      0.26   2.3e+02   -1.5   3.1   215   288   707   785   682   799 0.58 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473410.1         -           1043 6007at5820           -            530      0.11    9.5   5.2   1   2   7.5e-05     0.065   10.2   0.3    81   176    80   176    66   181 0.78 | transcript=PVW1_120039200_t1 | gene=PVW1_120039200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1413122-1416253(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473410.1         -           1043 6007at5820           -            530      0.11    9.5   5.2   2   2     0.047        41    1.0   0.7   300   349   455   503   428   534 0.53 | transcript=PVW1_120039200_t1 | gene=PVW1_120039200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1413122-1416253(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 6007at5820           -            530      0.76    6.7  11.8   1   1   0.00091      0.79    6.7  11.8   243   321     8    87     1    96 0.61 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 6007at5820           -            530       1.3    5.9  10.0   1   1     0.002       1.7    5.5  10.0   239   307    66   135    54   162 0.55 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6007at5820           -            530       3.8    4.4  31.2   1   3    0.0058       5.1    4.0   6.7   210   262    53   105    47   127 0.57 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6007at5820           -            530       3.8    4.4  31.2   2   3   2.2e-05     0.019   12.0   6.6   296   417   261   381   219   414 0.74 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 6007at5820           -            530       3.8    4.4  31.2   3   3      0.15   1.3e+02   -0.7   2.1   318   396   432   512   409   558 0.52 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6007at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6007at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6007at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:36 2026
# [ok]
