#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476854.1         -            792 3154at5820           -            664         0 1363.3  64.5   1   4   5.8e-14   3.9e-11   40.5   1.9     3    47    19    69    17    74 0.86 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472147.1         -           1280 3154at5820           -            664   3.6e-13   47.2  43.8   3   5      0.35   2.4e+02   -1.8   1.3   336   388   598   650   572   667 0.66 | transcript=PVW1_140032900_t1 | gene=PVW1_140032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1193440-1197282(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472147.1         -           1280 3154at5820           -            664   3.6e-13   47.2  43.8   4   5   0.00032      0.22    8.3   0.1   457   497   814   854   776   865 0.88 | transcript=PVW1_140032900_t1 | gene=PVW1_140032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1193440-1197282(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472147.1         -           1280 3154at5820           -            664   3.6e-13   47.2  43.8   5   5   2.4e-09   1.6e-06   25.2   1.2   569   633  1029  1094   996  1118 0.84 | transcript=PVW1_140032900_t1 | gene=PVW1_140032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1193440-1197282(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477473.1         -            619 3154at5820           -            664     3e-11   40.8  14.5   1   3     0.012       8.2    3.1   0.1   153   170   120   137   110   146 0.86 | transcript=PVW1_110009200_t1 | gene=PVW1_110009200 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | transcript_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | location=CAJZCX010000008:187064-189052(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477473.1         -            619 3154at5820           -            664     3e-11   40.8  14.5   2   3   8.1e-07   0.00054   16.9   0.7   561   635   223   301   189   306 0.78 | transcript=PVW1_110009200_t1 | gene=PVW1_110009200 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | transcript_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | location=CAJZCX010000008:187064-189052(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477473.1         -            619 3154at5820           -            664     3e-11   40.8  14.5   3   3   6.3e-10   4.3e-07   27.1   3.4   478   635   393   552   326   567 0.69 | transcript=PVW1_110009200_t1 | gene=PVW1_110009200 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | transcript_product=ABC transporter E family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZG1] | location=CAJZCX010000008:187064-189052(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 3154at5820           -            664   1.9e-10   38.2   3.6   1   2   3.6e-05     0.024   11.4   0.1   460   509   613   662   605   700 0.85 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 3154at5820           -            664   1.9e-10   38.2   3.6   2   2   6.4e-10   4.3e-07   27.1   0.4   263   327   815   881   753   889 0.87 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475653.1         -            257 3154at5820           -            664   3.3e-09   34.1   4.2   1   2   1.4e-05    0.0092   12.8   0.1   466   510    27    71    11    79 0.83 | transcript=PVW1_130022400_t1 | gene=PVW1_130022400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | transcript_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | location=CAJZCX010000006:792641-794276(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475653.1         -            257 3154at5820           -            664   3.3e-09   34.1   4.2   2   2   2.1e-08   1.4e-05   22.1   1.5   259   343   125   213    99   232 0.89 | transcript=PVW1_130022400_t1 | gene=PVW1_130022400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | transcript_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT3] | location=CAJZCX010000006:792641-794276(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476152.1         -            351 3154at5820           -            664     3e-06   24.3   2.1   1   1   4.6e-08   3.1e-05   21.0   2.1   120   352    98   339    49   346 0.74 | transcript=PVW1_130041800_t1 | gene=PVW1_130041800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW5] | transcript_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW5] | location=CAJZCX010000006:1617874-1618929(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475828.1         -            695 3154at5820           -            664   3.9e-06   23.9   0.2   1   1   3.6e-08   2.5e-05   21.3   0.2   478   610    68   216    63   231 0.67 | transcript=PVW1_130030100_t1 | gene=PVW1_130030100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1118574-1120661(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 3154at5820           -            664   4.1e-05   20.6   8.6   1   3      0.79   5.3e+02   -2.9   0.1   172   244   260   338   252   358 0.49 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 3154at5820           -            664   4.1e-05   20.6   8.6   2   3   7.3e-06    0.0049   13.7   0.2   459   509   497   546   482   567 0.81 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 3154at5820           -            664   4.1e-05   20.6   8.6   3   3   2.7e-05     0.018   11.8   0.5   263   331   711   781   701   799 0.83 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3154at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:55 2026
# [ok]
