#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475139.1         -            720 3783at5820           -            543         0 1089.4  17.7   1   2   7.9e-27   1.3e-24   85.0   0.1    13    65   139   191   136   195 0.94 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481721.1         -           1007 3783at5820           -            543   6.4e-53  178.4   2.4   1   1   1.2e-54   1.9e-52  176.8   2.4    13   350   630   984   626   995 0.89 | transcript=PVW1_060023100_t1 | gene=PVW1_060023100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:751286-755355(+) | protein_length=1007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 3783at5820           -            543   4.2e-49  165.8   3.3   1   3   1.3e-06   0.00021   18.3   0.0    15    62   350   397   338   405 0.82 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 3783at5820           -            543   4.2e-49  165.8   3.3   2   3   2.6e-18   4.3e-16   56.8   0.0    62   164   422   524   416   532 0.93 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 3783at5820           -            543   4.2e-49  165.8   3.3   3   3   4.5e-28   7.4e-26   89.1   1.1   168   353   551   731   541   745 0.88 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 3783at5820           -            543   3.6e-47  159.4   5.2   1   1   2.9e-49   4.7e-47  159.0   5.2    22   348   168   498   153   542 0.86 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472607.1         -            731 3783at5820           -            543   1.1e-44  151.2  10.9   1   1   3.6e-46   5.9e-44  148.8  10.9    12   358   116   498   110   568 0.78 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479674.1         -           1187 3783at5820           -            543     2e-43  147.1   6.3   1   1   1.9e-45   3.1e-43  146.4   6.3    22   335   189   509   181   529 0.87 | transcript=PVW1_050012300_t1 | gene=PVW1_050012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:354186-357749(+) | protein_length=1187 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475997.1         -            877 3783at5820           -            543   4.9e-43  145.8  17.0   1   1   4.7e-45   7.7e-43  145.1  17.0    15   384   149   532   141   563 0.87 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479052.1         -            430 3783at5820           -            543   1.9e-42  143.8   0.1   1   1   1.6e-44   2.6e-42  143.4   0.1    65   362   126   417   116   425 0.89 | transcript=PVW1_080024700_t1 | gene=PVW1_080024700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:901653-902945(-) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471860.1         -            626 3783at5820           -            543   3.6e-39  133.0   9.5   1   1   2.9e-41   4.8e-39  132.6   9.5    15   349   165   513   160   573 0.79 | transcript=PVW1_140014400_t1 | gene=PVW1_140014400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | transcript_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | location=CAJZCX010000003:443768-445648(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 3783at5820           -            543   5.1e-39  132.5   4.2   1   2     0.003      0.49    7.1   0.0    16    63    75   122    65   137 0.87 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 3783at5820           -            543   5.1e-39  132.5   4.2   2   2   8.6e-39   1.4e-36  124.4   3.1    68   362   163   458   155   471 0.83 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 3783at5820           -            543   5.6e-38  129.1   0.3   1   2   7.2e-29   1.2e-26   91.7   0.3    18   163   154   314   141   321 0.84 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 3783at5820           -            543   5.6e-38  129.1   0.3   2   2     1e-11   1.7e-09   35.0   0.0   267   342   609   687   599   715 0.83 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 3783at5820           -            543   1.1e-37  128.1   0.0   1   1   1.9e-39   3.1e-37  126.6   0.0    19   348    77   426    68   435 0.83 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 3783at5820           -            543   3.3e-34  116.6  13.1   1   2     1e-06   0.00017   18.6   0.1    11    62   265   316   256   327 0.88 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 3783at5820           -            543   3.3e-34  116.6  13.1   2   2   3.4e-31   5.6e-29   99.4   9.5    67   399   380   713   375   722 0.81 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 3783at5820           -            543   1.7e-26   91.2   5.9   1   1   8.9e-28   1.5e-25   88.1   5.9    24   356   396   764   383   778 0.72 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 3783at5820           -            543   7.3e-26   89.1  16.8   1   4   1.9e-05     0.003   14.4   0.0    18    63    20    68    11    76 0.82 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 3783at5820           -            543   7.3e-26   89.1  16.8   2   4     3e-13   4.9e-11   40.1   1.8    64   206   329   476   321   492 0.83 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 3783at5820           -            543   7.3e-26   89.1  16.8   3   4         2   3.3e+02   -2.2   3.0   441   508   494   565   486   574 0.72 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 3783at5820           -            543   7.3e-26   89.1  16.8   4   4   6.6e-14   1.1e-11   42.3   0.2   263   348   605   690   567   718 0.85 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 3783at5820           -            543   7.4e-26   89.1   7.6   1   2   1.5e-17   2.4e-15   54.4   2.4     8   166   248   427   242   451 0.77 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 3783at5820           -            543   7.4e-26   89.1   7.6   2   2   2.5e-12   4.1e-10   37.1   0.2   269   348   602   682   589   746 0.76 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 3783at5820           -            543   3.2e-25   87.0  11.8   1   3   1.4e-05    0.0023   14.8   0.3    17    95   175   259   158   280 0.72 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 3783at5820           -            543   3.2e-25   87.0  11.8   2   3       1.7   2.8e+02   -2.0   3.6   357   443   300   376   287   437 0.58 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475314.1         -            869 3783at5820           -            543   3.2e-25   87.0  11.8   3   3   1.1e-26   1.7e-24   84.5   6.0   241   477   536   769   530   834 0.79 | transcript=PVW1_130007900_t1 | gene=PVW1_130007900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2S3] | location=CAJZCX010000006:131725-135498(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 3783at5820           -            543   8.8e-25   85.5   0.1   1   2   4.2e-05     0.007   13.2   0.0    21    62   153   194   142   198 0.88 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 3783at5820           -            543   8.8e-25   85.5   0.1   2   2   2.3e-22   3.8e-20   70.2   0.0    67   361   272   571   246   580 0.81 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 3783at5820           -            543   2.3e-20   70.9  12.1   1   2   2.1e-16   3.4e-14   50.6   0.7    14   199   106   306    94   327 0.75 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 3783at5820           -            543   2.3e-20   70.9  12.1   2   2   1.4e-08   2.3e-06   24.7   5.0   300   437   513   660   509   680 0.63 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 3783at5820           -            543   1.3e-18   65.1   6.5   1   4   1.2e-06    0.0002   18.3   0.0    15    67    63   115    58   130 0.85 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 3783at5820           -            543   1.3e-18   65.1   6.5   2   4       2.6   4.3e+02   -2.6   0.0    68    86   244   262   233   282 0.73 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 3783at5820           -            543   1.3e-18   65.1   6.5   3   4   1.3e-05    0.0021   15.0   0.1   105   180   307   384   284   389 0.87 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 3783at5820           -            543   1.3e-18   65.1   6.5   4   4   4.6e-11   7.6e-09   32.9   0.3   289   352   583   645   546   669 0.83 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 3783at5820           -            543   1.2e-16   58.7   0.5   1   2   1.2e-08   1.9e-06   25.0   0.1     7    97   152   245   146   263 0.75 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476605.1         -           1329 3783at5820           -            543   1.2e-16   58.7   0.5   2   2   1.1e-10   1.8e-08   31.7   0.0   268   332   914   978   904   984 0.94 | transcript=PVW1_090012500_t1 | gene=PVW1_090012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:401322-405311(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483337.1         -           1175 3783at5820           -            543   1.2e-14   52.0   1.4   1   2   2.2e-08   3.7e-06   24.0   0.5    20   199   238   441   226   450 0.76 | transcript=PVW1_030017800_t1 | gene=PVW1_030017800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:585943-589470(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
