#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473632.1         -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  6.8e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476950.1         -            559 2237at5820           -            757     8e-15   52.4   0.2   1   2   1.1e-15   3.6e-13   46.9   0.2     6   250    70   325    67   353 0.68 | transcript=PVW1_090031100_t1 | gene=PVW1_090031100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | location=CAJZCX010000007:1172990-1175477(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476950.1         -            559 2237at5820           -            757     8e-15   52.4   0.2   2   2   4.6e-05     0.015   11.7   0.0     9    91   296   381   293   390 0.73 | transcript=PVW1_090031100_t1 | gene=PVW1_090031100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL8] | location=CAJZCX010000007:1172990-1175477(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472204.1         -            586 2237at5820           -            757   2.6e-10   37.5   1.0   1   3   3.2e-05     0.011   12.3   0.1   125   250   150   278   142   283 0.42 | transcript=PVW1_140038400_t1 | gene=PVW1_140038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1466332-1468092(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472204.1         -            586 2237at5820           -            757   2.6e-10   37.5   1.0   2   3   1.2e-05    0.0042   13.6   0.0    23   132   206   315   191   324 0.75 | transcript=PVW1_140038400_t1 | gene=PVW1_140038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1466332-1468092(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472204.1         -            586 2237at5820           -            757   2.6e-10   37.5   1.0   3   3   9.9e-08   3.4e-05   20.5   0.1    34   147   331   449   319   463 0.77 | transcript=PVW1_140038400_t1 | gene=PVW1_140038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1466332-1468092(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481408.1         -            874 2237at5820           -            757   3.4e-10   37.1   0.0   1   1   9.2e-12   3.1e-09   33.9   0.0    16   147    83   222    76   242 0.79 | transcript=PVW1_060014100_t1 | gene=PVW1_060014100 | organism=Plasmodium_vivax_PvW1 | gene_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | transcript_product=Kelch protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUA1] | location=CAJZCX010000012:414574-417198(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475392.1         -            970 2237at5820           -            757     8e-06   22.6   3.6   1   3     0.061        21    1.4   0.1    38    65   461   490   443   499 0.77 | transcript=PVW1_130011000_t1 | gene=PVW1_130011000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:262797-265709(-) | protein_length=970 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475392.1         -            970 2237at5820           -            757     8e-06   22.6   3.6   2   3      0.03        10    2.4   0.1    18    60   812   858   801   865 0.63 | transcript=PVW1_130011000_t1 | gene=PVW1_130011000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:262797-265709(-) | protein_length=970 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475392.1         -            970 2237at5820           -            757     8e-06   22.6   3.6   3   3   5.7e-07   0.00019   18.0   0.1   222   292   863   941   859   955 0.72 | transcript=PVW1_130011000_t1 | gene=PVW1_130011000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:262797-265709(-) | protein_length=970 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 2237at5820           -            757   2.4e-05   21.0   0.0   1   2   0.00059       0.2    8.0   0.0   114   165  1424  1473  1320  1479 0.81 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477022.1         -           2386 2237at5820           -            757   2.4e-05   21.0   0.0   2   2   9.9e-05     0.034   10.6   0.0    14    66  1481  1532  1476  1536 0.91 | transcript=PVW1_090036900_t1 | gene=PVW1_090036900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1391382-1398542(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 2237at5820           -            757     0.043   10.3   0.1   1   3      0.41   1.4e+02   -1.3   0.0     7    61   530   582   495   596 0.55 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 2237at5820           -            757     0.043   10.3   0.1   2   3   0.00097      0.33    7.3   0.1   115   160   771   817   754   853 0.67 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481281.1         -           1602 2237at5820           -            757     0.043   10.3   0.1   3   3      0.89     3e+02   -2.5   0.0   648   676  1059  1089  1056  1111 0.72 | transcript=PVW1_060010100_t1 | gene=PVW1_060010100 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | transcript_product=SAM_MT_TRM5_TYW2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU55] | location=CAJZCX010000012:205761-210569(-) | protein_length=1602 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2237at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:53 2026
# [ok]
