#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480606.1         -            202 11831at5820          -            156   3.2e-96  317.8   2.7   1   1   1.1e-98   5.7e-96  317.0   2.7     1   156    25   202    25   202 0.95 | transcript=PVW1_070028800_t1 | gene=PVW1_070028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | location=CAJZCX010000011:1050271-1051729(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 11831at5820          -            156   7.7e-05   21.0   3.3   1   3   0.00036      0.18   10.0   0.0    68   105   116   153   101   164 0.79 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 11831at5820          -            156   7.7e-05   21.0   3.3   2   3    0.0011      0.54    8.5   0.0    53    92   185   223   165   241 0.76 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 11831at5820          -            156   7.7e-05   21.0   3.3   3   3      0.21   1.1e+02    1.0   0.4    98   135   254   292   237   305 0.73 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479878.1         -            361 11831at5820          -            156   0.00028   19.1   0.4   1   2      0.32   1.6e+02    0.4   0.0    54    89   134   169    96   190 0.76 | transcript=PVW1_050026200_t1 | gene=PVW1_050026200 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | location=CAJZCX010000010:889935-892352(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479878.1         -            361 11831at5820          -            156   0.00028   19.1   0.4   2   2   3.4e-06    0.0017   16.6   0.2    16    98   172   261   166   294 0.68 | transcript=PVW1_050026200_t1 | gene=PVW1_050026200 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | location=CAJZCX010000010:889935-892352(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 11831at5820          -            156   0.00029   19.1   1.7   1   2     0.084        42    2.3   0.3    76   122    53    99    40   111 0.80 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 11831at5820          -            156   0.00029   19.1   1.7   2   2   5.9e-06     0.003   15.8   0.1    45    96   194   246   167   257 0.76 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476258.1         -            119 11831at5820          -            156    0.0009   17.5   0.0   1   1   2.1e-06    0.0011   17.2   0.0    15    95     8    92     2   108 0.72 | transcript=PVW1_130049300_t1 | gene=PVW1_130049300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | location=CAJZCX010000006:1961744-1962472(-) | protein_length=119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 11831at5820          -            156    0.0011   17.2   0.8   1   2   0.00027      0.14   10.4   0.0    52    87    34    69     7   102 0.85 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 11831at5820          -            156    0.0011   17.2   0.8   2   2     0.011       5.4    5.2   0.2    53   109   122   178    88   192 0.78 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11831at5820          -            156    0.0014   16.9   0.0   1   3         2     1e+03   -2.2   0.0    52    79    96   123    92   141 0.73 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11831at5820          -            156    0.0014   16.9   0.0   2   3     0.042        21    3.3   0.4    53    88   195   229   159   239 0.75 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11831at5820          -            156    0.0014   16.9   0.0   3   3   2.7e-06    0.0014   16.9   0.0    50   114   406   471   399   492 0.89 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472069.1         -            124 11831at5820          -            156    0.0048   15.1   0.3   1   2   1.6e-05    0.0079   14.4   0.3    54   119    24    91    15   114 0.83 | transcript=PVW1_140028000_t1 | gene=PVW1_140028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | location=CAJZCX010000003:1001268-1002138(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472069.1         -            124 11831at5820          -            156    0.0048   15.1   0.3   2   2       2.6   1.3e+03   -2.5   0.0    13    24   102   113    96   120 0.69 | transcript=PVW1_140028000_t1 | gene=PVW1_140028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | location=CAJZCX010000003:1001268-1002138(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11831at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11831at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11831at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:49 2026
# [ok]
