#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482560.1         -           1029 2944at5820           -            483  2.4e-250  829.9  35.1   1   3   3.8e-69   4.5e-67  225.5   9.8     4   131     9   141     4   157 0.93 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 2944at5820           -            483   2.9e-21   74.4   3.8   1   1   3.8e-23   4.4e-21   73.8   3.8   247   439   106   307    71   343 0.84 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472541.1         -            755 2944at5820           -            483   6.4e-21   73.3   0.7   1   1   1.1e-22   1.2e-20   72.3   0.7   243   440   421   629   381   645 0.80 | transcript=PVW1_140070500_t1 | gene=PVW1_140070500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2813335-2815735(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 2944at5820           -            483   1.4e-20   72.1   0.9   1   1   1.8e-22   2.1e-20   71.6   0.9   254   440    15   214     8   225 0.76 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 2944at5820           -            483   1.8e-19   68.5   2.5   1   2       1.4   1.7e+02   -0.7   0.2   275   337   398   465   363   470 0.77 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 2944at5820           -            483   1.8e-19   68.5   2.5   2   2     2e-21   2.3e-19   68.1   0.2   239   447   530   747   505   754 0.81 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 2944at5820           -            483   2.1e-19   68.3   2.0   1   1   3.2e-21   3.8e-19   67.4   2.0   256   444  1192  1392  1168  1402 0.83 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 2944at5820           -            483   2.4e-19   68.1   2.1   1   1   2.6e-21     3e-19   67.8   2.1   238   457    20   247     1   266 0.79 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 2944at5820           -            483   2.8e-19   67.9   2.2   1   1     4e-21   4.7e-19   67.1   2.2   287   450  1739  1908  1717  1933 0.84 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 2944at5820           -            483   3.2e-19   67.6  11.0   1   1   3.5e-21   4.1e-19   67.3  11.0   242   444    13   227     5   268 0.83 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 2944at5820           -            483     3e-18   64.5   2.6   1   1   3.9e-20   4.5e-18   63.9   2.6   250   449     8   229     4   235 0.72 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477867.1         -           2227 2944at5820           -            483   3.8e-18   64.1   4.0   1   2         5   5.9e+02   -2.5   0.2   241   272   921   952   917   956 0.88 | transcript=PVW1_110031300_t1 | gene=PVW1_110031300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1149192-1155875(+) | protein_length=2227 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477867.1         -           2227 2944at5820           -            483   3.8e-18   64.1   4.0   2   2   3.2e-20   3.8e-18   64.1   4.0   279   447  2002  2174  1989  2184 0.82 | transcript=PVW1_110031300_t1 | gene=PVW1_110031300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1149192-1155875(+) | protein_length=2227 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 2944at5820           -            483   1.2e-17   62.5   0.4   1   1   1.7e-19   1.9e-17   61.8   0.4   256   438   165   357   135   373 0.81 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 2944at5820           -            483   2.2e-17   61.6   4.2   1   1   3.3e-19   3.8e-17   60.8   4.2   252   452   268   487   261   491 0.76 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 2944at5820           -            483   1.8e-16   58.6  17.5   1   5    0.0014      0.16    9.3   1.0     7    44    37    74    16    84 0.71 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 2944at5820           -            483   1.8e-16   58.6  17.5   2   5      0.69        81    0.4   1.1   161   215   281   336   249   384 0.70 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 2944at5820           -            483   1.8e-16   58.6  17.5   3   5    0.0027      0.32    8.3   0.1   275   332   794   857   778   861 0.78 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 2944at5820           -            483   1.8e-16   58.6  17.5   4   5   4.2e-05    0.0049   14.3   0.1   335   391  1076  1132  1046  1147 0.89 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 2944at5820           -            483   1.8e-16   58.6  17.5   5   5   5.1e-11     6e-09   33.8   0.0   403   473  1216  1298  1212  1304 0.79 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 2944at5820           -            483   5.1e-16   57.1  19.7   1   5     0.007      0.82    7.0  11.7    10   118    41   144    36   174 0.78 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 2944at5820           -            483   5.1e-16   57.1  19.7   2   5     0.017         2    5.7   0.1   152   217   517   585   513   654 0.84 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 2944at5820           -            483   5.1e-16   57.1  19.7   3   5     0.001      0.12    9.7   0.0   285   329   820   868   807   875 0.71 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 2944at5820           -            483   5.1e-16   57.1  19.7   4   5   7.6e-06   0.00089   16.7   0.0   341   386   904   950   898   961 0.87 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 2944at5820           -            483   5.1e-16   57.1  19.7   5   5   2.1e-06   0.00024   18.6   0.0   404   438  1061  1095  1044  1136 0.84 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 2944at5820           -            483   4.2e-15   54.1   0.1   1   1   4.7e-17   5.5e-15   53.7   0.1   250   435     3   198     1   212 0.78 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472547.1         -            730 2944at5820           -            483   5.6e-15   53.7  11.5   1   1   1.2e-16   1.4e-14   52.3  11.5   242   457    15   261     1   300 0.71 | transcript=PVW1_140071100_t1 | gene=PVW1_140071100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | location=CAJZCX010000003:2831879-2834071(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 2944at5820           -            483   1.2e-14   52.6   0.1   1   1   1.6e-16   1.9e-14   51.9   0.1   322   469   127   280    33   285 0.78 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 2944at5820           -            483   1.3e-14   52.5   2.3   1   1   1.5e-16   1.7e-14   52.1   2.3   252   433   114   311    97   333 0.74 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 2944at5820           -            483   2.5e-14   51.5   7.5   1   2       3.4     4e+02   -1.9   0.0   257   283    14    40     7    51 0.69 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 2944at5820           -            483   2.5e-14   51.5   7.5   2   2   2.1e-16   2.5e-14   51.5   7.5   241   443   100   314    76   325 0.81 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 2944at5820           -            483   4.1e-14   50.8   4.9   1   2     2e-06   0.00023   18.7   0.8   314   379   933   997   919  1012 0.83 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473976.1         -           1309 2944at5820           -            483   4.1e-14   50.8   4.9   2   2   7.1e-11   8.3e-09   33.3   0.2   378   442  1083  1147  1073  1175 0.82 | transcript=PVW1_120078900_t1 | gene=PVW1_120078900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHS5] | location=CAJZCX010000004:3109637-3113566(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476842.1         -           1535 2944at5820           -            483   6.7e-14   50.1  14.2   1   3   1.3e-05    0.0015   16.0   3.4   234   335   163   262   139   273 0.77 | transcript=PVW1_090026500_t1 | gene=PVW1_090026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:954865-959621(-) | protein_length=1535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476842.1         -           1535 2944at5820           -            483   6.7e-14   50.1  14.2   2   3   1.1e-12   1.3e-10   39.3   0.1   346   446   346   451   331   476 0.84 | transcript=PVW1_090026500_t1 | gene=PVW1_090026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:954865-959621(-) | protein_length=1535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476842.1         -           1535 2944at5820           -            483   6.7e-14   50.1  14.2   3   3      0.68        79    0.4   0.5   101   129  1453  1484  1441  1499 0.77 | transcript=PVW1_090026500_t1 | gene=PVW1_090026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:954865-959621(-) | protein_length=1535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 2944at5820           -            483   1.3e-13   49.2   7.4   1   2   1.1e-15   1.3e-13   49.2   7.4   269   441   547   724   409   733 0.79 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 2944at5820           -            483   1.3e-13   49.2   7.4   2   2       7.4   8.7e+02   -3.0   1.2   234   293  1457  1513  1426  1519 0.66 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 2944at5820           -            483   1.6e-13   48.8   0.8   1   1   2.1e-15   2.5e-13   48.2   0.8   247   438    18   224     5   245 0.67 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 2944at5820           -            483   1.8e-13   48.7   0.6   1   1   2.3e-15   2.7e-13   48.1   0.6   254   440  1342  1551  1315  1560 0.81 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
