#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477680.1         -            135 14437at5820          -            112     8e-54  179.1  14.0   1   2   5.3e-56   5.4e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVW1_110019000_t1 | gene=PVW1_110019000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:611185-612075(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485528.1         -            266 14437at5820          -            112       4.2    6.1  11.7   2   3     0.069        70    2.1   0.1    43    75   136   173   120   179 0.71 | transcript=PVW1_000023700_t1 | gene=PVW1_000023700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000018:17124-18040(+) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485528.1         -            266 14437at5820          -            112       4.2    6.1  11.7   3   3   0.00019      0.19   10.4   0.7    75   109   216   245   196   247 0.72 | transcript=PVW1_000023700_t1 | gene=PVW1_000023700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000018:17124-18040(+) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:28 2026
# [ok]
