#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477220.1         -            584 6639at5820           -            446  7.2e-218  722.4  26.3   1   3     4e-70   4.8e-67  225.3   8.9     1   138    23   169    23   182 0.92 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 6639at5820           -            446   0.00079   16.9   0.0   3   3       2.3   2.7e+03   -4.7   0.7   131   150   381   400   375   415 0.51 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6639at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6639at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6639at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:53 2026
# [ok]
