#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479718.1         -            292 9510at5820           -            234    1e-139  462.2  23.2   1   1  2.2e-138  3.6e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 9510at5820           -            234   5.2e-31  106.4  10.3   4   5   3.7e-12   5.9e-10   37.5   0.0   119   213   442   536   436   553 0.89 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 9510at5820           -            234   5.2e-31  106.4  10.3   5   5       9.7   1.5e+03   -3.1   0.5    90   126   635   672   631   690 0.81 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 9510at5820           -            234   1.2e-27   95.5   1.1   1   1   1.5e-28   2.5e-26   91.1   1.1     7   210   327   520   321   527 0.85 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 9510at5820           -            234   5.9e-14   50.6   0.5   1   2    0.0066         1    7.3   0.0   126   194    20    89     8   101 0.76 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 9510at5820           -            234   5.9e-14   50.6   0.5   2   2   1.9e-13   3.1e-11   41.7   0.1   123   200   104   181    94   205 0.87 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 9510at5820           -            234   2.4e-13   48.6   2.4   1   2   5.3e-10   8.5e-08   30.5   0.0   122   200    83   159    73   170 0.87 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 9510at5820           -            234   2.4e-13   48.6   2.4   2   2   1.1e-05    0.0018   16.3   1.9   128   219   172   270   165   287 0.68 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 9510at5820           -            234   2.9e-13   48.3   0.0   1   3   0.00043     0.068   11.1   0.0   127   210   634   718   620   736 0.77 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 9510at5820           -            234   2.9e-13   48.3   0.0   2   3   2.8e-10   4.6e-08   31.3   0.0   137   208   746   817   741   834 0.89 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 9510at5820           -            234   2.9e-13   48.3   0.0   3   3      0.33        53    1.7   0.0    16    66   952   999   940  1005 0.74 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 9510at5820           -            234   3.6e-11   41.5   0.0   1   2   2.6e-08   4.2e-06   24.9   0.0   123   189    18    84     5   104 0.87 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 9510at5820           -            234   3.6e-11   41.5   0.0   2   2   3.4e-05    0.0055   14.7   0.0   127   202   173   248   162   250 0.92 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479878.1         -            361 9510at5820           -            234   2.1e-10   39.0   0.8   1   2   0.00025      0.04   11.9   0.1     7    56   118   169   110   184 0.61 | transcript=PVW1_050026200_t1 | gene=PVW1_050026200 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | location=CAJZCX010000010:889935-892352(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479878.1         -            361 9510at5820           -            234   2.1e-10   39.0   0.8   2   2   1.8e-08   2.8e-06   25.5   0.1   126   185   202   261   170   285 0.84 | transcript=PVW1_050026200_t1 | gene=PVW1_050026200 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | location=CAJZCX010000010:889935-892352(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9510at5820           -            234   3.4e-10   38.3   5.1   1   3       1.6   2.5e+02   -0.5   1.0    71   203   402   537   393   550 0.72 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9510at5820           -            234   3.4e-10   38.3   5.1   2   3   0.00098      0.16   10.0   0.0   165   202   920   957   913   970 0.87 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9510at5820           -            234   3.4e-10   38.3   5.1   3   3   3.5e-09   5.6e-07   27.8   0.1   128   199   984  1055   967  1062 0.90 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478612.1         -            318 9510at5820           -            234   4.6e-09   34.6   0.0   1   1   6.1e-11   9.7e-09   33.5   0.0   124   230    84   192    74   195 0.85 | transcript=PVW1_080007500_t1 | gene=PVW1_080007500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | location=CAJZCX010000009:169507-172597(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477173.1         -           1849 9510at5820           -            234   1.6e-07   29.6   0.5   1   2      0.27        42    2.0   0.5   138   195   477   532   451   538 0.77 | transcript=PVW1_090044400_t1 | gene=PVW1_090044400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1742468-1748017(+) | protein_length=1849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477173.1         -           1849 9510at5820           -            234   1.6e-07   29.6   0.5   2   2   3.1e-08   4.9e-06   24.7   0.0     8    90  1020  1103  1013  1112 0.70 | transcript=PVW1_090044400_t1 | gene=PVW1_090044400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1742468-1748017(+) | protein_length=1849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 9510at5820           -            234     1e-06   26.9   0.1   1   2   3.1e-05     0.005   14.9   0.1   128   185    97   154    65   182 0.79 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 9510at5820           -            234     1e-06   26.9   0.1   2   2   0.00097      0.15   10.0   0.0   116   183   294   364   269   379 0.71 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 9510at5820           -            234   1.3e-06   26.6   1.4   1   2   0.00022     0.035   12.1   0.7   139   202    58   117    34   142 0.80 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 9510at5820           -            234   1.3e-06   26.6   1.4   2   2   0.00011     0.018   13.0   0.0   126   200   210   284   174   286 0.89 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477646.1         -            181 9510at5820           -            234   1.9e-06   26.0   0.0   1   1   1.8e-08   2.8e-06   25.5   0.0   136   211    60   136    39   159 0.78 | transcript=PVW1_110017300_t1 | gene=PVW1_110017300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | location=CAJZCX010000008:516751-518073(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 9510at5820           -            234   3.2e-06   25.3   0.0   1   1   3.5e-08   5.5e-06   24.5   0.0     9    68   190   251   183   258 0.83 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 9510at5820           -            234     6e-06   24.4   0.0   1   2   4.2e-07   6.7e-05   21.0   0.0   127   200     9    80     4    91 0.91 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474926.1         -            316 9510at5820           -            234     6e-06   24.4   0.0   2   2      0.54        87    1.0   0.0   165   190   143   168   124   193 0.78 | transcript=PVW1_100040800_t1 | gene=PVW1_100040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | transcript_product=Serine/arginine-rich splicing factor 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE20] | location=CAJZCX010000005:1653998-1655155(+) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472320.1         -            110 9510at5820           -            234   6.2e-06   24.4   0.0   1   1   4.5e-08   7.2e-06   24.2   0.0   128   198    16    84     9   103 0.87 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476797.1         -            208 9510at5820           -            234   6.4e-06   24.3   0.3   1   2   8.9e-08   1.4e-05   23.2   0.1   120   200     2    82     1    94 0.90 | transcript=PVW1_090025000_t1 | gene=PVW1_090025000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | location=CAJZCX010000007:896045-896671(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476797.1         -            208 9510at5820           -            234   6.4e-06   24.3   0.3   2   2       4.8   7.6e+02   -2.1   0.0    51    82   159   188   147   192 0.75 | transcript=PVW1_090025000_t1 | gene=PVW1_090025000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | location=CAJZCX010000007:896045-896671(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 9510at5820           -            234   7.6e-06   24.1   0.2   1   3     0.075        12    3.8   0.0   167   199   449   483   394   506 0.67 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 9510at5820           -            234   7.6e-06   24.1   0.2   2   3      0.13        21    3.0   0.0   128   162   559   594   549   618 0.73 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 9510at5820           -            234   7.6e-06   24.1   0.2   3   3   0.00011     0.018   13.0   0.0   122   202   671   751   627   753 0.81 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480787.1         -            725 9510at5820           -            234   8.3e-06   24.0   0.0   1   1   9.8e-08   1.6e-05   23.0   0.0   130   199    11    81     3    92 0.88 | transcript=PVW1_070038500_t1 | gene=PVW1_070038500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB28] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB28] | location=CAJZCX010000011:1415765-1417942(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
