#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478154.1         -            996 4120at5820           -            764         0 1496.4 127.0   1   5   3.7e-10   1.5e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471938.1         -           1071 4120at5820           -            764   2.7e-15   53.9   5.2   4   4   2.3e-06   0.00092   15.8   0.6   549   629   973  1050   957  1055 0.91 | transcript=PVW1_140019600_t1 | gene=PVW1_140019600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:646499-649714(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480425.1         -            910 4120at5820           -            764     2e-09   34.5   3.0   1   1   8.9e-12   3.6e-09   33.7   3.0   193   317   194   317   188   343 0.75 | transcript=PVW1_070016700_t1 | gene=PVW1_070016700 | organism=Plasmodium_vivax_PvW1 | gene_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | transcript_product=Translation factor GUF1 homolog, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV15] | location=CAJZCX010000011:601498-604230(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 4120at5820           -            764   2.7e-07   27.5   1.3   1   2     0.071        29    0.9   0.0   193   210     6    23     3    53 0.76 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 4120at5820           -            764   2.7e-07   27.5   1.3   2   2   4.8e-09     2e-06   24.6   0.4   255   317   127   189   124   200 0.93 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 4120at5820           -            764   3.6e-07   27.1   7.2   1   4   0.00021     0.085    9.3   0.0   188   219    11    44     2   106 0.88 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 4120at5820           -            764   3.6e-07   27.1   7.2   2   4   8.4e-08   3.4e-05   20.5   0.7   255   325   176   246   167   281 0.85 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 4120at5820           -            764   3.6e-07   27.1   7.2   3   4       1.3   5.3e+02   -3.3   0.1   161   218   679   741   672   743 0.72 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 4120at5820           -            764   3.6e-07   27.1   7.2   4   4       1.3   5.3e+02   -3.2   0.0   311   361  1200  1250  1195  1255 0.88 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 4120at5820           -            764   8.3e-07   25.9   2.1   1   2     2e-09   8.3e-07   25.9   2.1   192   318   111   234    97   253 0.80 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 4120at5820           -            764   8.3e-07   25.9   2.1   2   2      0.19        78   -0.5   0.2   417   445   374   402   356   418 0.82 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 4120at5820           -            764   1.4e-06   25.1   3.5   1   2      0.12        50    0.1   0.0   193   211   186   204   131   215 0.89 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 4120at5820           -            764   1.4e-06   25.1   3.5   2   2     1e-08   4.2e-06   23.5   2.0   242   348   313   425   274   435 0.86 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 4120at5820           -            764     3e-06   24.0   3.9   1   2   7.5e-09     3e-06   24.0   3.9   195   316    17   139     7   152 0.84 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 4120at5820           -            764     3e-06   24.0   3.9   2   2       1.1   4.5e+02   -3.0   0.5   371   384   222   235   169   302 0.46 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 4120at5820           -            764   7.6e-06   22.7   0.4   1   1   3.2e-08   1.3e-05   21.9   0.4   194   316    29   152    16   167 0.86 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472400.1         -            775 4120at5820           -            764   1.2e-05   22.0   0.1   1   1   5.1e-08   2.1e-05   21.3   0.1   194   317    45   177    37   182 0.80 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 4120at5820           -            764   1.9e-05   21.4   2.4   1   2   5.5e-08   2.2e-05   21.1   0.3   194   317    76   200    67   206 0.75 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 4120at5820           -            764   1.9e-05   21.4   2.4   2   2      0.21        83   -0.6   0.1   416   456   279   320   271   328 0.87 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 4120at5820           -            764   0.00013   18.6   0.1   1   2   7.3e-06    0.0029   14.1   0.0   255   335    94   174     3   190 0.80 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 4120at5820           -            764   0.00013   18.6   0.1   2   2     0.049        20    1.5   0.0   652   730   735   809   713   822 0.82 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478028.1         -            215 4120at5820           -            764    0.0054   13.3   2.8   1   1   1.5e-05    0.0061   13.1   2.8    36   108    43   115    34   157 0.72 | transcript=PVW1_110041500_t1 | gene=PVW1_110041500 | organism=Plasmodium_vivax_PvW1 | gene_product=50S ribosomal protein L18, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H094] | transcript_product=50S ribosomal protein L18, apicoplast, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H094] | location=CAJZCX010000008:1563538-1564378(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4120at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
