#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472124.1         -            771 3302at5820           -            593         0 1262.2  31.4   1   2  3.9e-135  1.5e-132  441.6   5.9     1   205    99   308    99   328 0.96 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473830.1         -            832 3302at5820           -            593   1.7e-20   71.5   1.8   2   2      0.16        62    0.3   0.0   319   385   487   555   361   561 0.54 | transcript=PVW1_120070700_t1 | gene=PVW1_120070700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H290] | location=CAJZCX010000004:2761777-2764275(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 3302at5820           -            593   3.2e-19   67.3   5.4   1   2   1.6e-09     6e-07   26.8   0.4     7    66     9    73     4    83 0.77 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 3302at5820           -            593   3.2e-19   67.3   5.4   2   2   3.5e-14   1.3e-11   42.1   0.6    68   148   173   258   163   308 0.75 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 3302at5820           -            593   8.4e-17   59.3   3.5   1   1   2.7e-19     1e-16   59.0   3.5    12   278    73   342    62   378 0.81 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472429.1         -           1101 3302at5820           -            593   2.2e-14   51.3   0.4   1   1   1.1e-16     4e-14   50.5   0.4     9   134    23   153    19   185 0.77 | transcript=PVW1_140059900_t1 | gene=PVW1_140059900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2399220-2402525(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 3302at5820           -            593   4.8e-14   50.2  16.9   1   1   1.6e-16   6.1e-14   49.9  16.9     5   277     7   289     3   309 0.77 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 3302at5820           -            593   9.1e-13   46.0   8.4   1   3    0.0013      0.48    7.3   0.0     8    39   180   211   175   217 0.85 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 3302at5820           -            593   9.1e-13   46.0   8.4   2   3   6.3e-14   2.4e-11   41.3   2.5    55   134   310   388   296   410 0.91 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 3302at5820           -            593   9.1e-13   46.0   8.4   3   3       1.7   6.4e+02   -3.0   0.1   216   244   623   651   608   710 0.65 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477696.1         -            443 3302at5820           -            593   2.1e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVW1_110020300_t1 | gene=PVW1_110020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:659037-660368(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477697.1         -            443 3302at5820           -            593   2.1e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVW1_110020400_t1 | gene=PVW1_110020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:661781-663112(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 3302at5820           -            593   1.1e-06   25.9   3.2   1   2   4.2e-09   1.6e-06   25.4   2.5    10   159   774   915   768   935 0.77 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 3302at5820           -            593   1.1e-06   25.9   3.2   2   2       2.1   8.1e+02   -3.4   0.0   280   328  1015  1063  1005  1073 0.79 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479673.1         -           1162 3302at5820           -            593     1e-05   22.7   0.9   1   1   4.9e-08   1.9e-05   21.8   0.9    13   180   596   750   583   763 0.73 | transcript=PVW1_050012200_t1 | gene=PVW1_050012200 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | location=CAJZCX010000010:349555-353043(-) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 3302at5820           -            593   7.8e-05   19.8   0.1   1   1   1.2e-06   0.00046   17.2   0.1     6   137   106   264   100   312 0.67 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 3302at5820           -            593     0.061   10.3   1.1   1   2     0.038        15    2.4   0.0    13    57     5    45     2    50 0.85 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483966.1         -            772 3302at5820           -            593     0.061   10.3   1.1   2   2    0.0033       1.2    5.9   0.5    72   134   128   189   122   208 0.81 | transcript=PVW1_020012500_t1 | gene=PVW1_020012500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:376174-378492(+) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:23 2026
# [ok]
