#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477286.1         -           1423 999at5820            -            930         0 1916.5 127.3   1   4   7.9e-90   2.8e-87  292.2  26.0     1   178    13   195    13   205 0.96 | transcript=PVW1_090053100_t1 | gene=PVW1_090053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZWU9] | location=CAJZCX010000007:2139612-2143883(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 999at5820            -            930   1.4e-12   45.0   1.1   1   1   4.7e-15   1.7e-12   44.7   1.1   702   880    78   255    48   311 0.66 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 999at5820            -            930     6e-12   42.9   1.8   1   2   1.7e-14     6e-12   42.9   1.8   658   858   117   311    95   319 0.72 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 999at5820            -            930     6e-12   42.9   1.8   2   2         3   1.1e+03   -4.3   0.2   216   258   339   381   338   383 0.74 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 999at5820            -            930   2.2e-11   41.1   0.8   1   1   8.9e-14   3.2e-11   40.5   0.8   701   866    62   227    17   254 0.70 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 999at5820            -            930   7.5e-11   39.3   1.8   1   1   4.3e-13   1.5e-10   38.2   1.8   656   853    79   266    73   292 0.80 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 999at5820            -            930   2.4e-10   37.6   0.5   1   1   1.2e-12   4.2e-10   36.8   0.5   764   866   138   232   119   253 0.83 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472547.1         -            730 999at5820            -            930   3.1e-10   37.2   6.0   1   2   8.8e-13   3.1e-10   37.2   6.0   700   865    63   244    24   252 0.72 | transcript=PVW1_140071100_t1 | gene=PVW1_140071100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | location=CAJZCX010000003:2831879-2834071(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472547.1         -            730 999at5820            -            930   3.1e-10   37.2   6.0   2   2       2.6   9.3e+02   -4.0   0.4   429   479   282   333   275   345 0.66 | transcript=PVW1_140071100_t1 | gene=PVW1_140071100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL76] | location=CAJZCX010000003:2831879-2834071(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485130.1         -            721 999at5820            -            930   3.4e-10   37.1   0.3   1   1   1.4e-12   4.9e-10   36.6   0.3   780   918   573   707   553   716 0.75 | transcript=PVW1_010023200_t1 | gene=PVW1_010023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | location=CAJZCX010000016:835802-838807(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 999at5820            -            930   9.8e-09   32.3   3.0   1   1   4.2e-11   1.5e-08   31.7   3.0   702   918  2986  3223  2973  3228 0.65 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 999at5820            -            930   1.5e-08   31.6   1.9   1   1   5.8e-11   2.1e-08   31.2   1.9   655   859    31   235    22   289 0.72 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 999at5820            -            930     2e-07   28.0   0.3   1   2       1.6   5.7e+02   -3.4   0.4   171   197    69    95    46   127 0.55 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 999at5820            -            930     2e-07   28.0   0.3   2   2   9.5e-10   3.4e-07   27.2   0.0   761   863   150   248   144   259 0.85 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 999at5820            -            930   4.9e-06   23.4   0.6   1   1     2e-08     7e-06   22.8   0.6   752   867  1433  1553  1345  1570 0.74 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/999at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/999at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/999at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:35 2026
# [ok]
