#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474779.1         -            203 11913at5820          -            182  2.3e-115  381.2   6.9   1   1  3.9e-116  2.1e-113  374.7   6.9     1   182     1   201     1   201 0.94 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480714.1         -            616 11913at5820          -            182   0.00019   19.7   1.5   1   2       1.7   9.3e+02   -2.1   0.1     8    50    52    95    48   104 0.73 | transcript=PVW1_070035900_t1 | gene=PVW1_070035900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY2] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY2] | location=CAJZCX010000011:1318757-1321237(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480714.1         -            616 11913at5820          -            182   0.00019   19.7   1.5   2   2   6.5e-07   0.00036   18.8   0.2    20    72   309   363   302   368 0.88 | transcript=PVW1_070035900_t1 | gene=PVW1_070035900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY2] | transcript_product=PPIase cyclophilin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY2] | location=CAJZCX010000011:1318757-1321237(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:03 2026
# [ok]
