#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474933.1         -           1342 1318at5820           -            924         0 1742.9  71.4   1   6  4.8e-115  7.4e-112  373.3   5.6     1   223     9   247     9   256 0.94 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 1318at5820           -            924   1.6e-06   24.7  19.4   2   4    0.0057       8.7    2.4   0.1   383   422   738   777   726   787 0.85 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 1318at5820           -            924   1.6e-06   24.7  19.4   3   4   2.7e-09   4.1e-06   23.4   1.8   731   851   771   884   769   890 0.85 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 1318at5820           -            924   1.6e-06   24.7  19.4   4   4     5e-05     0.075    9.3   2.3   837   893  1095  1155  1081  1174 0.81 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 1318at5820           -            924    0.0014   15.0   0.1   1   2   7.5e-06     0.011   12.0   0.1   233   262   109   138    97   153 0.85 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 1318at5820           -            924    0.0014   15.0   0.1   2   2     0.024        37    0.3   0.0   838   866   489   518   479   552 0.80 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1318at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:00 2026
# [ok]
