#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479867.1         -            392 7340at5820           -            220  1.9e-154  510.0   3.3   1   1  9.6e-157  2.4e-154  509.6   3.3     1   220   173   392   173   392 1.00 | transcript=PVW1_050025300_t1 | gene=PVW1_050025300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | location=CAJZCX010000010:849428-850791(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 7340at5820           -            220   9.9e-48  161.0   0.1   1   1   6.4e-50   1.6e-47  160.3   0.1     2   202   196   400   195   419 0.89 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 7340at5820           -            220   3.6e-43  146.1   0.0   1   2    0.0058       1.5    6.8   0.0     4    77   246   321   243   336 0.83 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 7340at5820           -            220   3.6e-43  146.1   0.0   2   2   9.3e-43   2.4e-40  136.9   0.0     1   193   608   798   608   809 0.96 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476794.1         -            950 7340at5820           -            220   1.1e-42  144.6   0.1   1   1     7e-45   1.8e-42  143.9   0.1     2   202   437   645   436   651 0.86 | transcript=PVW1_090024800_t1 | gene=PVW1_090024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:886169-889021(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 7340at5820           -            220   3.7e-42  142.8   2.0   1   3       8.8   2.2e+03   -3.6   0.0    22    43   243   264   236   271 0.81 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 7340at5820           -            220   3.7e-42  142.8   2.0   2   3   2.7e-44   6.9e-42  141.9   0.2     2   206   285   486   284   495 0.95 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 7340at5820           -            220   3.7e-42  142.8   2.0   3   3       2.4     6e+02   -1.7   0.0    81    97   627   643   614   675 0.85 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 7340at5820           -            220   4.1e-29  100.2   1.6   1   3       1.5   3.7e+02   -1.0   0.1    78   133    64   118    42   139 0.73 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 7340at5820           -            220   4.1e-29  100.2   1.6   2   3   8.5e-29   2.1e-26   91.3   0.1     2   185   291   487   290   516 0.84 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 7340at5820           -            220   4.1e-29  100.2   1.6   3   3    0.0069       1.7    6.6   0.0     2    69   572   640   571   654 0.82 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 7340at5820           -            220   5.8e-28   96.4   0.0   1   2   5.6e-30   1.4e-27   95.2   0.0     2   150   153   297   152   300 0.91 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 7340at5820           -            220   5.8e-28   96.4   0.0   2   2       6.3   1.6e+03   -3.1   0.0   160   189   325   354   321   357 0.80 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 7340at5820           -            220   1.6e-27   95.0   0.1   1   1   1.2e-29     3e-27   94.1   0.1     2   156   459   610   458   625 0.89 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 7340at5820           -            220   6.3e-23   80.0   0.0   1   2     5e-18   1.3e-15   56.1   0.0     3   110   584   696   582   702 0.86 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 7340at5820           -            220   6.3e-23   80.0   0.0   2   2   2.3e-07   5.7e-05   21.2   0.0   108   153   778   823   758   830 0.88 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 7340at5820           -            220   2.5e-09   35.5   0.0   1   1   1.7e-11   4.4e-09   34.7   0.0     3   151   348   512   346   529 0.73 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 7340at5820           -            220   4.1e-09   34.8   0.0   1   1   2.8e-11     7e-09   34.0   0.0     3   163   346   511   344   520 0.71 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 7340at5820           -            220   1.2e-08   33.2   0.0   1   2     0.027       6.7    4.7   0.0     4    24   258   278   255   294 0.82 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 7340at5820           -            220   1.2e-08   33.2   0.0   2   2   7.9e-09     2e-06   26.0   0.0    93   147   369   423   359   437 0.93 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 7340at5820           -            220   2.2e-08   32.4   0.0   1   1   1.4e-10   3.5e-08   31.7   0.0     2   159   748   920   747   928 0.77 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 7340at5820           -            220   7.8e-05   20.8   0.1   1   2       1.5   3.7e+02   -1.0   0.0     4    22   527   545   525   561 0.73 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 7340at5820           -            220   7.8e-05   20.8   0.1   2   2     2e-06   0.00051   18.1   0.0    28    82   631   685   620   720 0.80 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480349.1         -            824 7340at5820           -            220    0.0018   16.3   0.2   1   2     0.026       6.7    4.7   0.1     3    55   436   490   434   506 0.78 | transcript=PVW1_070012400_t1 | gene=PVW1_070012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | location=CAJZCX010000011:414043-416517(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480349.1         -            824 7340at5820           -            220    0.0018   16.3   0.2   2   2    0.0014      0.36    8.8   0.0    58    95   627   667   597   688 0.72 | transcript=PVW1_070012400_t1 | gene=PVW1_070012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | location=CAJZCX010000011:414043-416517(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483939.1         -           1105 7340at5820           -            220     0.034   12.1   0.0   1   2   0.00044      0.11   10.5   0.0     4    74   327   396   324   419 0.84 | transcript=PVW1_020011500_t1 | gene=PVW1_020011500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZPA5] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZPA5] | location=CAJZCX010000015:338617-341934(+) | protein_length=1105 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483939.1         -           1105 7340at5820           -            220     0.034   12.1   0.0   2   2       5.7   1.4e+03   -3.0   0.0   181   214   939   972   937   975 0.89 | transcript=PVW1_020011500_t1 | gene=PVW1_020011500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZPA5] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZPA5] | location=CAJZCX010000015:338617-341934(+) | protein_length=1105 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:06 2026
# [ok]
