#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477681.1         -            335 10505at5820          -            263    1e-130  433.2  50.3   1   1  3.6e-133  3.7e-130  431.4  50.3     1   263    51   334    51   334 0.93 | transcript=PVW1_110019100_t1 | gene=PVW1_110019100 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | transcript_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | location=CAJZCX010000008:613672-614679(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10505at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:29 2026
# [ok]
